r, Channel 1, Channel 2
1.82, 0.22671, 6.67771e-05
1.83, 0.222097, 5.05089e-05
1.84, 0.217439, 3.37096e-05
1.85, 0.212737, 1.65989e-05
1.86, 0.207992, -6.04203e-07
1.87, 0.203205, -1.76831e-05
1.88, 0.198377, -3.44264e-05
1.89, 0.193508, -5.06303e-05
1.9, 0.188599, -6.61006e-05
1.91, 0.183652, -8.06548e-05
1.92, 0.178666, -9.41237e-05
1.93, 0.173643, -0.000106354
1.94, 0.168585, -0.000117207
1.95, 0.163491, -0.000126564
1.96, 0.158363, -0.000134325
1.97, 0.153202, -0.000140408
1.98, 0.148008, -0.000144751
1.99, 0.142784, -0.000147315
2, 0.13753, -0.000148079
2.01, 0.132248, -0.000147045
2.02, 0.126937, -0.000144231
2.03, 0.121601, -0.00013968
2.04, 0.116239, -0.000133448
2.05, 0.110853, -0.000125615
2.06, 0.105444, -0.000116273
2.07, 0.100014, -0.000105532
2.08, 0.0945634, -9.35151e-05
2.09, 0.0890938, -8.03598e-05
2.1, 0.0836064, -6.62135e-05
2.11, 0.0781024, -5.12334e-05
2.12, 0.0725832, -3.55843e-05
2.13, 0.06705, -1.94373e-05
2.14, 0.061504, -2.96723e-06
2.15, 0.0559465, 1.36485e-05
2.16, 0.0503787, 3.0232e-05
2.17, 0.0448018, 4.66071e-05
2.18, 0.0392172, 6.26004e-05
2.19, 0.0336259, 7.80435e-05
2.2, 0.0280292, 9.27743e-05
2.21, 0.0224282, 0.000106639
2.22, 0.0168242, 0.000119493
2.23, 0.0112181, 0.000131202
2.24, 0.00561126, 0.000141645
2.25, 4.60899e-06, 0.000150714
2.26, -0.00560073, 0.000158313
2.27, -0.0112037, 0.000164362
2.28, -0.0168033, 0.000168798
2.29, -0.0223986, 0.000171572
2.3, -0.0279885, 0.000172652
2.31, -0.0335721, 0.000172023
2.32, -0.0391485, 0.000169685
2.33, -0.0447168, 0.000165655
2.34, -0.0502761, 0.000159967
2.35, -0.0558256, 0.00015267
2.36, -0.0613643, 0.000143829
2.37, -0.0668916, 0.000133521
2.38, -0.0724066, 0.000121838
2.39, -0.0779085, 0.000108886
2.4, -0.0833965, 9.47815e-05
2.41, -0.0888699, 7.96504e-05
2.42, -0.094328, 6.36295e-05
2.43, -0.0997701, 4.68629e-05
2.44, -0.105195, 2.95015e-05
2.45, -0.110603, 1.17014e-05
2.46, -0.115993, -6.37708e-06
2.47, -0.121363, -2.45716e-05
2.48, -0.126714, -4.27187e-05
2.49, -0.132045, -6.06552e-05
2.5, -0.137355, -7.82201e-05
2.51, -0.142643, -9.52554e-05
2.52, -0.147908, -0.000111608
2.53, -0.153151, -0.00012713
2.54, -0.158369, -0.000141682
2.55, -0.163563, -0.000155131
2.56, -0.168732, -0.000167356
2.57, -0.173874, -0.000178244
2.58, -0.178989, -0.000187695
2.59, -0.184077, -0.00019562
2.6, -0.189137, -0.000201944
2.61, -0.194167, -0.000206605
2.62, -0.199167, -0.000209554
2.63, -0.204135, -0.000210757
2.64, -0.209073, -0.000210195
2.65, -0.213977, -0.000207863
2.66, -0.218848, -0.000203771
2.67, -0.223684, -0.000197943
2.68, -0.228485, -0.000190418
2.69, -0.23325, -0.000181249
2.7, -0.237977, -0.000170501
2.71, -0.242666, -0.000158253
2.72, -0.247316, -0.000144596
2.73, -0.251926, -0.000129634
2.74, -0.256495, -0.000113479
2.75, -0.261022, -9.62535e-05
2.76, -0.265505, -7.80905e-05
2.77, -0.269945, -5.91289e-05
2.78, -0.27434, -3.95147e-05
2.79, -0.278688, -1.93994e-05
2.8, -0.28299, 1.06152e-06
2.81, -0.287244, 2.17092e-05
2.82, -0.291449, 4.23833e-05
2.83, -0.295605, 6.29226e-05
2.84, -0.29971, 8.31669e-05
2.85, -0.303763, 0.000102958
2.86, -0.307764, 0.00012214
2.87, -0.311712, 0.000140561
2.88, -0.315606, 0.000158078
2.89, -0.319445, 0.000174549
2.9, -0.323229, 0.000189845
2.91, -0.326956, 0.000203841
2.92, -0.330626, 0.000216424
2.93, -0.334238, 0.000227491
2.94, -0.337792, 0.000236949
2.95, -0.341287, 0.000244718
2.96, -0.344723, 0.000250729
2.97, -0.348098, 0.000254928
2.98, -0.351413, 0.000257272
2.99, -0.354668, 0.000257732
3, -0.35786, 0.000256293
3.01, -0.360992, 0.000252953
3.02, -0.364061, 0.000247726
3.03, -0.367068, 0.000240638
3.04, -0.370012, 0.000231728
3.05, -0.372894, 0.00022105
3.06, -0.375713, 0.000208669
3.07, -0.378469, 0.000194663
3.08, -0.381162, 0.000179124
3.09, -0.383792, 0.000162152
3.1, -0.386359, 0.00014386
3.11, -0.388863, 0.000124368
3.12, -0.391304, 0.000103807
3.13, -0.393682, 8.23168e-05
3.14, -0.395997, 6.00414e-05
3.15, -0.39825, 3.71327e-05
3.16, -0.40044, 1.37469e-05
3.17, -0.402568, -9.95551e-06
3.18, -0.404634, -3.38116e-05
3.19, -0.406638, -5.76568e-05
3.2, -0.408581, -8.13257e-05
3.21, -0.410462, -0.000104654
3.22, -0.412283, -0.000127478
3.23, -0.414042, -0.000149639
3.24, -0.415741, -0.000170979
3.25, -0.41738, -0.000191349
3.26, -0.418958, -0.000210602
3.27, -0.420476, -0.0002286
3.28, -0.421935, -0.000245213
3.29, -0.423335, -0.00026032
3.3, -0.424675, -0.000273808
3.31, -0.425956, -0.000285577
3.32, -0.427177, -0.000295534
3.33, -0.42834, -0.000303602
3.34, -0.429445, -0.000309713
3.35, -0.43049, -0.000313814
3.36, -0.431476, -0.000315863
3.37, -0.432404, -0.000315833
3.38, -0.433272, -0.00031371
3.39, -0.434082, -0.000309492
3.4, -0.434832, -0.000303193
3.41, -0.435523, -0.00029484
3.42, -0.436153, -0.000284472
3.43, -0.436724, -0.000272142
3.44, -0.437235, -0.000257918
3.45, -0.437684, -0.000241877
3.46, -0.438072, -0.000224111
3.47, -0.438398, -0.000204721
3.48, -0.438662, -0.00018382
3.49, -0.438863, -0.000161532
3.5, -0.439, -0.000137989
3.51, -0.439072, -0.000113333
3.52, -0.43908, -8.77118e-05
3.53, -0.439021, -6.12814e-05
3.54, -0.438895, -3.42036e-05
3.55, -0.438701, -6.64452e-06
3.56, -0.438438, 2.12254e-05
3.57, -0.438106, 4.92333e-05
3.58, -0.437702, 7.72042e-05
3.59, -0.437227, 0.000104963
3.6, -0.436678, 0.000132334
3.61, -0.436055, 0.000159145
3.62, -0.435357, 0.000185224
3.63, -0.434581, 0.000210404
3.64, -0.433728, 0.000234522
3.65, -0.432796, 0.000257422
3.66, -0.431783, 0.000278952
3.67, -0.430688, 0.000298971
3.68, -0.42951, 0.000317343
3.69, -0.428248, 0.000333944
3.7, -0.4269, 0.000348658
3.71, -0.425465, 0.000361381
3.72, -0.423942, 0.00037202
3.73, -0.422329, 0.000380494
3.74, -0.420625, 0.000386735
3.75, -0.418829, 0.000390688
3.76, -0.41694, 0.00039231
3.77, -0.414956, 0.000391574
3.78, -0.412876, 0.000388464
3.79, -0.4107, 0.000382981
3.8, -0.408425, 0.000375137
3.81, -0.406052, 0.000364961
3.82, -0.403578, 0.000352495
3.83, -0.401004, 0.000337792
3.84, -0.398327, 0.000320923
3.85, -0.395548, 0.000301968
3.86, -0.392665, 0.000281023
3.87, -0.389678, 0.000258194
3.88, -0.386586, 0.0002336
3.89, -0.383388, 0.000207369
3.9, -0.380084, 0.000179642
3.91, -0.376674, 0.000150568
3.92, -0.373156, 0.000120304
3.93, -0.369532, 8.90171e-05
3.94, -0.3658, 5.68787e-05
3.95, -0.36196, 2.40679e-05
3.96, -0.358013, -9.23144e-06
3.97, -0.353958, -4.28318e-05
3.98, -0.349796, -7.65424e-05
3.99, -0.345526, -0.000110171
4, -0.34115, -0.000143524
4.01, -0.336667, -0.000176408
4.02, -0.332077, -0.000208632
4.03, -0.327382, -0.000240007
4.04, -0.322583, -0.000270345
4.05, -0.317679, -0.000299468
4.06, -0.312671, -0.000327197
4.07, -0.307561, -0.000353365
4.08, -0.302349, -0.00037781
4.09, -0.297037, -0.000400379
4.1, -0.291626, -0.000420927
4.11, -0.286116, -0.000439321
4.12, -0.28051, -0.000455439
4.13, -0.274808, -0.000469169
4.14, -0.269012, -0.000480413
4.15, -0.263124, -0.000489085
4.16, -0.257145, -0.000495114
4.17, -0.251076, -0.00049844
4.18, -0.24492, -0.00049902
4.19, -0.238678, -0.000496824
4.2, -0.232352, -0.00049184
4.21, -0.225944, -0.000484066
4.22, -0.219456, -0.00047352
4.23, -0.212889, -0.000460232
