r Channel_1(Re) Channel_1(Im) Channel_2(Re) Channel_2(Im)
1.13 0.279698 -0.178771 -0.00683774 -0.024949
1.14 0.27888 -0.182285 -0.00686916 -0.0242595
1.15 0.277425 -0.185334 -0.00688691 -0.0235282
1.16 0.27535 -0.187921 -0.00689129 -0.0227574
1.17 0.272672 -0.190052 -0.00688259 -0.0219493
1.18 0.269408 -0.191733 -0.00686113 -0.0211062
1.19 0.265579 -0.192971 -0.00682722 -0.0202306
1.2 0.261203 -0.193773 -0.00678122 -0.0193246
1.21 0.2563 -0.194148 -0.00672346 -0.0183907
1.22 0.250893 -0.194103 -0.00665431 -0.0174312
1.23 0.245001 -0.193648 -0.00657414 -0.0164483
1.24 0.238646 -0.192794 -0.00648332 -0.0154444
1.25 0.231852 -0.19155 -0.00638224 -0.0144218
1.26 0.22464 -0.189927 -0.0062713 -0.0133828
1.27 0.217032 -0.187937 -0.00615089 -0.0123295
1.28 0.209053 -0.185591 -0.00602141 -0.0112643
1.29 0.200725 -0.182902 -0.00588328 -0.0101893
1.3 0.192072 -0.179881 -0.00573691 -0.0091066
1.31 0.183116 -0.176543 -0.00558271 -0.00801846
1.32 0.173882 -0.172899 -0.0054211 -0.00692691
1.33 0.164393 -0.168962 -0.0052525 -0.00583401
1.34 0.154672 -0.164747 -0.00507734 -0.00474177
1.35 0.144743 -0.160267 -0.00489602 -0.00365216
1.36 0.134629 -0.155536 -0.00470898 -0.0025671
1.37 0.124352 -0.150567 -0.00451663 -0.00148845
1.38 0.113936 -0.145375 -0.0043194 -0.000418055
1.39 0.103403 -0.139974 -0.00411769 0.000642329
1.4 0.0927747 -0.134377 -0.00391193 0.00169098
1.41 0.0820739 -0.128599 -0.00370252 0.00272623
1.42 0.0713219 -0.122654 -0.00348987 0.00374648
1.43 0.0605398 -0.116556 -0.00327438 0.00475017
1.44 0.0497484 -0.110319 -0.00305645 0.00573581
1.45 0.0389682 -0.103957 -0.00283649 0.00670196
1.46 0.028219 -0.0974836 -0.00261486 0.00764725
1.47 0.0175202 -0.0909125 -0.00239196 0.00857037
1.48 0.00689098 -0.0842572 -0.00216816 0.00947007
1.49 -0.00365041 -0.0775312 -0.00194383 0.0103451
1.5 -0.014086 -0.0707477 -0.00171932 0.0111945
1.51 -0.0243985 -0.0639195 -0.00149501 0.012017
1.52 -0.0345711 -0.0570596 -0.00127123 0.0128117
1.53 -0.0445875 -0.0501805 -0.00104831 0.0135776
1.54 -0.0544322 -0.0432944 -0.000826603 0.0143139
1.55 -0.0640902 -0.0364135 -0.000606415 0.0150198
1.56 -0.073547 -0.0295495 -0.000388064 0.0156944
1.57 -0.082789 -0.0227139 -0.000171852 0.0163372
1.58 -0.0918029 -0.015918 4.19239e-05 0.0169474
1.59 -0.100576 -0.00917259 0.000252979 0.0175245
1.6 -0.109097 -0.00248837 0.000461039 0.018068
1.61 -0.117355 0.00412442 0.000665835 0.0185774
1.62 -0.125338 0.0106558 0.000867113 0.0190524
1.63 -0.133037 0.0170962 0.00106462 0.0194927
1.64 -0.140442 0.0234363 0.00125814 0.0198978
1.65 -0.147546 0.0296672 0.00144742 0.0202678
1.66 -0.15434 0.0357804 0.00163226 0.0206023
1.67 -0.160816 0.0417675 0.00181245 0.0209013
1.68 -0.166969 0.0476208 0.0019878 0.0211647
1.69 -0.172791 0.0533328 0.00215812 0.0213925
1.7 -0.178278 0.0588963 0.00232324 0.0215849
1.71 -0.183426 0.0643046 0.00248299 0.0217419
1.72 -0.188228 0.0695514 0.00263722 0.0218636
