8.31,-0.00655265
8.34,-0.00625713
8.37,-0.00597493
8.4,-0.00570547
8.43,-0.00544815
8.46,-0.00520244
8.49,-0.0049678
8.52,-0.00474375
8.55,-0.0045298
8.58,-0.00432551
8.61,-0.00413042
8.64,-0.00394413
8.67,-0.00376625
8.7,-0.00359638
8.73,-0.00343418
8.76,-0.00327929
8.79,-0.00313139
8.82,-0.00299015
8.85,-0.00285529
8.88,-0.00272651
8.91,-0.00260354
8.94,-0.00248611
8.97,-0.00237398
9,-0.00226691
9.03,-0.00216466
9.06,-0.00206703
9.09,-0.0019738
9.12,-0.00188478
9.15,-0.00179977
9.18,-0.00171859
9.21,-0.00164108
9.24,-0.00156706
9.27,-0.00149638
9.3,-0.00142889
9.33,-0.00136444
9.36,-0.0013029
9.39,-0.00124413
9.42,-0.00118802
9.45,-0.00113443
9.48,-0.00108326
9.51,-0.0010344
9.54,-0.000987748
9.57,-0.000943197
9.6,-0.000900655
9.63,-0.000860032
9.66,-0.00082124
9.69,-0.000784199
9.72,-0.000748828
9.75,-0.000715053
9.78,-0.000682801
9.81,-0.000652004
9.84,-0.000622595
9.87,-0.000594514
9.9,-0.000567698
9.93,-0.000542093
9.96,-0.000517642
9.99,-0.000494294
10.02,-0.000471999
10.05,-0.00045071
10.08,-0.000430381
10.11,-0.000410968
10.14,-0.000392432
10.17,-0.000374731
10.2,-0.000357829
10.23,-0.00034169
10.26,-0.000326278
10.29,-0.000311561
10.32,-0.000297508
10.35,-0.000284089
10.38,-0.000271275
10.41,-0.00025904
10.44,-0.000247356
10.47,-0.000236199
10.5,-0.000225545
10.53,-0.000215372
10.56,-0.000205658
10.59,-0.000196382
10.62,-0.000187524
10.65,-0.000179066
10.68,-0.000170989
10.71,-0.000163276
10.74,-0.000155912
10.77,-0.000148879
10.8,-0.000142164
10.83,-0.000135752
10.86,-0.000129629
10.89,-0.000123782
10.92,-0.000118199
10.95,-0.000112868
10.98,-0.000107777
11.01,-0.000102915
11.04,-9.82734e-05
11.07,-9.38408e-05
11.1,-8.96081e-05
11.13,-8.55664e-05
11.16,-8.17069e-05
11.19,-7.80215e-05
11.22,-7.45024e-05
11.25,-7.11419e-05
11.28,-6.79331e-05
11.31,-6.4869e-05
11.34,-6.19431e-05
11.37,-5.91491e-05
11.4,-5.64812e-05
11.43,-5.39336e-05
11.46,-5.1501e-05
11.49,-4.9178e-05
11.52,-4.69599e-05
11.55,-4.48417e-05
11.58,-4.28191e-05
11.61,-4.08878e-05
11.64,-3.90436e-05
11.67,-3.72825e-05
11.7,-3.56009e-05
11.73,-3.39951e-05
11.76,-3.24618e-05
11.79,-3.09976e-05
11.82,-2.95994e-05
11.85,-2.82643e-05
11.88,-2.69895e-05
11.91,-2.57721e-05
11.94,-2.46097e-05
11.97,-2.34997e-05
12,-2.24397e-05
12.03,-2.14276e-05
12.06,-2.04611e-05
12.09,-1.95382e-05
12.12,-1.86569e-05
12.15,-1.78154e-05
12.18,-1.70118e-05
12.21,-1.62445e-05
12.24,-1.55118e-05
12.27,-1.48121e-05
12.3,-1.4144e-05
12.33,-1.35061e-05
12.36,-1.28969e-05
12.39,-1.23152e-05
12.42,-1.17597e-05
12.45,-1.12293e-05
12.48,-1.07228e-05
12.51,-1.02391e-05
12.54,-9.7773e-06
12.57,-9.33629e-06
12.6,-8.91518e-06
12.63,-8.51306e-06
12.66,-8.12908e-06
12.69,-7.76242e-06
12.72,-7.41229e-06
12.75,-7.07796e-06
12.78,-6.75871e-06
12.81,-6.45386e-06
12.84,-6.16276e-06
12.87,-5.88479e-06
12.9,-5.61936e-06
12.93,-5.36589e-06
12.96,-5.12387e-06
12.99,-4.89275e-06
13.02,-4.67207e-06
13.05,-4.46133e-06
13.08,-4.26011e-06
13.11,-4.06795e-06
13.14,-3.88447e-06
13.17,-3.70926e-06
13.2,-3.54195e-06
13.23,-3.38219e-06
13.26,-3.22964e-06
13.29,-3.08397e-06
13.32,-2.94487e-06
13.35,-2.81204e-06
13.38,-2.6852e-06
13.41,-2.56408e-06
13.44,-2.44843e-06
13.47,-2.338e-06
13.5,-2.23254e-06
13.53,-2.13184e-06
13.56,-2.03568e-06
13.59,-1.94387e-06
13.62,-1.85619e-06
13.65,-1.77246e-06
13.68,-1.69252e-06
13.71,-1.61618e-06
13.74,-1.54328e-06
13.77,-1.47367e-06
13.8,-1.4072e-06
13.83,-1.34373e-06
13.86,-1.28312e-06
13.89,-1.22524e-06
13.92,-1.16998e-06
13.95,-1.11721e-06
13.98,-1.06682e-06
14.01,-1.0187e-06
14.04,-9.72749e-07
14.07,-9.28873e-07
14.1,-8.86976e-07
14.13,-8.46969e-07
14.16,-8.08767e-07
14.19,-7.72287e-07
