r Re(potential) Im(potential) Coupling
13.2 -2.54137e-08 -1.01655e-08 5.08274e-08
13.3 -2.0807e-08 -8.32279e-09 4.1614e-08
13.4 -1.70353e-08 -6.81413e-09 3.40706e-08
13.5 -1.39473e-08 -5.57894e-09 2.78947e-08
13.6 -1.14191e-08 -4.56765e-09 2.28382e-08
13.7 -9.34918e-09 -3.73967e-09 1.86984e-08
13.8 -7.65446e-09 -3.06179e-09 1.53089e-08
13.9 -6.26694e-09 -2.50678e-09 1.25339e-08
14 -5.13094e-09 -2.05238e-09 1.02619e-08
14.1 -4.20086e-09 -1.68034e-09 8.40172e-09
14.2 -3.43937e-09 -1.37575e-09 6.87874e-09
14.3 -2.81592e-09 -1.12637e-09 5.63184e-09
14.4 -2.30548e-09 -9.22192e-10 4.61096e-09
14.5 -1.88757e-09 -7.55027e-10 3.77513e-09
14.6 -1.54541e-09 -6.18164e-10 3.09082e-09
14.7 -1.26527e-09 -5.0611e-10 2.53055e-09
14.8 -1.03592e-09 -4.14368e-10 2.07184e-09
14.9 -8.48139e-10 -3.39255e-10 1.69628e-09
15 -6.94397e-10 -2.77759e-10 1.38879e-09
15.1 -5.68524e-10 -2.2741e-10 1.13705e-09
15.2 -4.65468e-10 -1.86187e-10 9.30937e-10
15.3 -3.81093e-10 -1.52437e-10 7.62187e-10
15.4 -3.12013e-10 -1.24805e-10 6.24026e-10
15.5 -2.55454e-10 -1.02182e-10 5.10909e-10
15.6 -2.09148e-10 -8.36594e-11 4.18297e-10
15.7 -1.71236e-10 -6.84945e-11 3.42472e-10
15.8 -1.40196e-10 -5.60786e-11 2.80393e-10
15.9 -1.14783e-10 -4.59132e-11 2.29566e-10
16 -9.39764e-11 -3.75906e-11 1.87953e-10
16.1 -7.69414e-11 -3.07766e-11 1.53883e-10
16.2 -6.29943e-11 -2.51977e-11 1.25989e-10
16.3 -5.15754e-11 -2.06301e-11 1.03151e-10
16.4 -4.22263e-11 -1.68905e-11 8.44527e-11
16.5 -3.4572e-11 -1.38288e-11 6.9144e-11
16.6 -2.83052e-11 -1.13221e-11 5.66103e-11
16.7 -2.31743e-11 -9.26972e-12 4.63486e-11
16.8 -1.89735e-11 -7.58941e-12 3.7947e-11
16.9 -1.55342e-11 -6.21368e-12 3.10684e-11
17 -1.27183e-11 -5.08733e-12 2.54367e-11
17.1 -1.04129e-11 -4.16515e-12 2.08258e-11
17.2 -8.52535e-12 -3.41014e-12 1.70507e-11
17.3 -6.97997e-12 -2.79199e-12 1.39599e-11
17.4 -5.71471e-12 -2.28589e-12 1.14294e-11
17.5 -4.67881e-12 -1.87152e-12 9.35762e-12
17.6 -3.83069e-12 -1.53227e-12 7.66137e-12
17.7 -3.1363e-12 -1.25452e-12 6.2726e-12
17.8 -2.56779e-12 -1.02711e-12 5.13557e-12
17.9 -2.10233e-12 -8.4093e-13 4.20465e-12
18 -1.72124e-12 -6.88495e-13 3.44248e-12
18.1 -1.40923e-12 -5.63692e-13 2.81846e-12
18.2 -1.15378e-12 -4.61512e-13 2.30756e-12
18.3 -9.44636e-13 -3.77854e-13 1.88927e-12
18.4 -7.73402e-13 -3.09361e-13 1.5468e-12
18.5 -6.33208e-13 -2.53283e-13 1.26642e-12
18.6 -5.18427e-13 -2.07371e-13 1.03685e-12
18.7 -4.24452e-13 -1.69781e-13 8.48904e-13
18.8 -3.47512e-13 -1.39005e-13 6.95024e-13
18.9 -2.84519e-13 -1.13808e-13 5.69038e-13
19 -2.32944e-13 -9.31777e-14 4.65889e-13
19.1 -1.90719e-13 -7.62875e-14 3.81437e-13
19.2 -1.56147e-13 -6.24589e-14 3.12294e-13
19.3 -1.27843e-13 -5.1137e-14 2.55685e-13
19.4 -1.04669e-13 -4.18674e-14 2.09337e-13
19.5 -8.56954e-14 -3.42782e-14 1.71391e-13
19.6 -7.01615e-14 -2.80646e-14 1.40323e-13
19.7 -5.74434e-14 -2.29773e-14 1.14887e-13
19.8 -4.70306e-14 -1.88123e-14 9.40613e-14
19.9 -3.85054e-14 -1.54022e-14 7.70109e-14
