r, Channel 1, Channel 2
1.79, 0.064499, 0.0127331
1.8, 0.0627238, 0.0125526
1.81, 0.060834, 0.0123484
1.82, 0.0588342, 0.0121211
1.83, 0.0567287, 0.0118714
1.84, 0.0545224, 0.0115997
1.85, 0.0522199, 0.0113068
1.86, 0.0498263, 0.0109934
1.87, 0.0473464, 0.0106602
1.88, 0.0447856, 0.010308
1.89, 0.0421489, 0.0099374
1.9, 0.0394417, 0.00954934
1.91, 0.0366693, 0.00914461
1.92, 0.033837, 0.00872404
1.93, 0.0309505, 0.0082885
1.94, 0.028015, 0.00783885
1.95, 0.0250362, 0.00737599
1.96, 0.0220196, 0.00690082
1.97, 0.0189706, 0.00641425
1.98, 0.0158948, 0.00591721
1.99, 0.0127977, 0.00541063
2, 0.00968471, 0.00489545
2.01, 0.00656131, 0.00437261
2.02, 0.00343289, 0.00384305
2.03, 0.000304783, 0.00330773
2.04, -0.00281772, 0.00276759
2.05, -0.00592939, 0.00222356
2.06, -0.00902511, 0.0016766
2.07, -0.0120998, 0.00112764
2.08, -0.0151485, 0.000577606
2.09, -0.0181663, 2.74191e-05
2.1, -0.0211485, -0.000522007
2.11, -0.0240904, -0.00106977
2.12, -0.0269874, -0.00161499
2.13, -0.0298352, -0.00215678
2.14, -0.0326293, -0.00269428
2.15, -0.0353657, -0.00322665
2.16, -0.0380403, -0.00375306
2.17, -0.0406492, -0.00427269
2.18, -0.0431886, -0.00478476
2.19, -0.045655, -0.00528849
2.2, -0.0480449, -0.00578312
2.21, -0.050355, -0.00626794
2.22, -0.0525821, -0.00674223
2.23, -0.0547233, -0.0072053
2.24, -0.0567757, -0.0076565
2.25, -0.0587367, -0.00809519
2.26, -0.0606038, -0.00852076
2.27, -0.0623747, -0.00893262
2.28, -0.0640472, -0.00933021
2.29, -0.0656193, -0.00971301
2.3, -0.0670892, -0.0100805
2.31, -0.0684554, -0.0104322
2.32, -0.0697162, -0.0107677
2.33, -0.0708704, -0.0110865
2.34, -0.0719169, -0.0113883
2.35, -0.0728547, -0.0116727
2.36, -0.073683, -0.0119394
2.37, -0.0744012, -0.012188
2.38, -0.0750088, -0.0124183
2.39, -0.0755055, -0.01263
2.4, -0.0758913, -0.0128229
2.41, -0.076166, -0.0129969
2.42, -0.07633, -0.0131517
2.43, -0.0763836, -0.0132873
2.44, -0.0763272, -0.0134035
2.45, -0.0761616, -0.0135002
2.46, -0.0758874, -0.0135774
2.47, -0.0755058, -0.0136352
2.48, -0.0750177, -0.0136734
2.49, -0.0744243, -0.0136922
2.5, -0.0737271, -0.0136916
2.51, -0.0729276, -0.0136716
2.52, -0.0720273, -0.0136325
2.53, -0.071028, -0.0135743
2.54, -0.0699316, -0.0134973
2.55, -0.0687401, -0.0134015
2.56, -0.0674555, -0.0132872
2.57, -0.0660801, -0.0131547
2.58, -0.0646162, -0.0130042
2.59, -0.0630662, -0.0128361
2.6, -0.0614326, -0.0126505
2.61, -0.059718, -0.0124478
2.62, -0.0579251, -0.0122284
2.63, -0.0560567, -0.0119927
2.64, -0.0541155, -0.011741
2.65, -0.0521046, -0.0114736
2.66, -0.0500268, -0.0111912
2.67, -0.0478853, -0.010894
2.68, -0.0456831, -0.0105825
2.69, -0.0434234, -0.0102573
2.7, -0.0411095, -0.00991869
2.71, -0.0387445, -0.00956728
2.72, -0.0363317, -0.00920354
2.73, -0.0338745, -0.008828
2.74, -0.0313763, -0.00844119
2.75, -0.0288404, -0.00804365
2.76, -0.0262703, -0.00763593
2.77, -0.0236692, -0.00721859
2.78, -0.0210408, -0.0067922
2.79, -0.0183884, -0.00635733
2.8, -0.0157155, -0.00591456
2.81, -0.0130255, -0.00546448
2.82, -0.0103218, -0.00500769
2.83, -0.00760796, -0.00454477
2.84, -0.00488732, -0.00407633
2.85, -0.00216328, -0.00360297
2.86, 0.000560769, -0.00312529
2.87, 0.00328147, -0.0026439
2.88, 0.00599551, -0.00215941
2.89, 0.00869959, -0.00167241
2.9, 0.0113904, -0.00118351
