r, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5
49.87, -0.281835, 0.403031, 0.172462, -0.284966, -0.0512649
49.88, -0.288669, 0.398342, 0.166891, -0.291931, -0.0522639
49.89, -0.295466, 0.393602, 0.1613, -0.298858, -0.053256
49.9, -0.302224, 0.388811, 0.155687, -0.305745, -0.0542411
49.91, -0.308942, 0.38397, 0.150055, -0.312591, -0.0552191
49.92, -0.315621, 0.379079, 0.144404, -0.319396, -0.0561897
49.93, -0.322258, 0.37414, 0.138735, -0.326159, -0.0571529
49.94, -0.328854, 0.369153, 0.133049, -0.332878, -0.0581086
49.95, -0.335407, 0.364119, 0.127346, -0.339552, -0.0590565
49.96, -0.341916, 0.359039, 0.121627, -0.346182, -0.0599966
49.97, -0.34838, 0.353912, 0.115893, -0.352765, -0.0609287
49.98, -0.3548, 0.348741, 0.110146, -0.3593, -0.0618527
49.99, -0.361173, 0.343525, 0.104384, -0.365788, -0.0627684
50, -0.367499, 0.338266, 0.0986105, -0.372226, -0.0636758
50.01, -0.373777, 0.332964, 0.092825, -0.378615, -0.0645747
50.02, -0.380007, 0.32762, 0.0870285, -0.384952, -0.065465
50.03, -0.386188, 0.322235, 0.0812219, -0.391238, -0.0663465
50.04, -0.392318, 0.31681, 0.075406, -0.397471, -0.0672191
50.05, -0.398398, 0.311345, 0.0695816, -0.40365, -0.0680828
50.06, -0.404425, 0.305841, 0.0637494, -0.409775, -0.0689373
50.07, -0.410401, 0.300299, 0.0579104, -0.415845, -0.0697825
50.08, -0.416322, 0.294719, 0.0520653, -0.421858, -0.0706185
50.09, -0.42219, 0.289103, 0.0462149, -0.427815, -0.0714449
50.1, -0.428003, 0.283452, 0.04036, -0.433713, -0.0722617
50.11, -0.433761, 0.277765, 0.0345015, -0.439553, -0.0730688
50.12, -0.439462, 0.272044, 0.0286401, -0.445333, -0.0738661
50.13, -0.445106, 0.26629, 0.0227767, -0.451053, -0.0746535
50.14, -0.450692, 0.260504, 0.016912, -0.456712, -0.0754308
50.15, -0.45622, 0.254685, 0.0110469, -0.462309, -0.0761979
50.16, -0.461688, 0.248836, 0.00518218, -0.467843, -0.0769548
50.17, -0.467097, 0.242957, -0.000681394, -0.473313, -0.0777013
50.18, -0.472445, 0.237048, -0.006543, -0.478719, -0.0784374
50.19, -0.477732, 0.231111, -0.0124018, -0.484061, -0.0791628
50.2, -0.482957, 0.225146, -0.0182571, -0.489336, -0.0798776
50.21, -0.488119, 0.219155, -0.024108, -0.494545, -0.0805816
50.22, -0.493218, 0.213137, -0.0299538, -0.499687, -0.0812747
50.23, -0.498253, 0.207094, -0.0357936, -0.504761, -0.0819569
50.24, -0.503223, 0.201027, -0.0416267, -0.509766, -0.082628
50.25, -0.508128, 0.194936, -0.0474523, -0.514702, -0.0832879
50.26, -0.512967, 0.188823, -0.0532696, -0.519568, -0.0839366
50.27, -0.517739, 0.182688, -0.0590778, -0.524363, -0.084574
50.28, -0.522444, 0.176531, -0.0648761, -0.529087, -0.0851999
50.29, -0.527082, 0.170355, -0.0706638, -0.533738, -0.0858143
50.3, -0.531651, 0.164159, -0.0764401, -0.538318, -0.0864171
50.31, -0.536151, 0.157945, -0.0822041, -0.542824, -0.0870082
50.32, -0.540582, 0.151713, -0.0879553, -0.547256, -0.0875876
50.33, -0.544942, 0.145464, -0.0936927, -0.551614, -0.0881552
50.34, -0.549232, 0.139199, -0.0994157, -0.555896, -0.0887108
50.35, -0.553451, 0.132918, -0.105123, -0.560103, -0.0892545
50.36, -0.557597, 0.126624, -0.110815, -0.564234, -0.0897861
50.37, -0.561672, 0.120315, -0.11649, -0.568289, -0.0903055
50.38, -0.565673, 0.113994, -0.122148, -0.572266, -0.0908128
50.39, -0.569602, 0.107662, -0.127787, -0.576165, -0.0913078
50.4, -0.573456, 0.101318, -0.133407, -0.579986, -0.0917905
50.41, -0.577236, 0.0949636, -0.139008, -0.583728, -0.0922608
50.42, -0.580941, 0.0886001, -0.144588, -0.587391, -0.0927186
50.43, -0.58457, 0.0822281, -0.150147, -0.590974, -0.0931639
50.44, -0.588124, 0.0758482, -0.155685, -0.594477, -0.0935967
50.45, -0.591602, 0.0694615, -0.161199, -0.597899, -0.0940168
50.46, -0.595002, 0.0630687, -0.166691, -0.601241, -0.0944243
50.47, -0.598326, 0.0566706, -0.172158, -0.6045, -0.094819
50.48, -0.601572, 0.050268, -0.177601, -0.607678, -0.0952009
50.49, -0.604739, 0.0438618, -0.183018, -0.610773, -0.0955701
50.5, -0.607829, 0.0374529, -0.188409, -0.613786, -0.0959263
50.51, -0.610839, 0.0310419, -0.193774, -0.616716, -0.0962697
50.52, -0.61377, 0.0246297, -0.199111, -0.619562, -0.0966001
50.53, -0.616621, 0.0182172, -0.204419, -0.622325, -0.0969175
50.54, -0.619393, 0.0118051, -0.209699, -0.625003, -0.0972219
50.55, -0.622084, 0.00539423, -0.21495, -0.627597, -0.0975132
50.56, -0.624694, -0.00101456, -0.220171, -0.630106, -0.0977914
50.57, -0.627223, -0.00742049, -0.22536, -0.632531, -0.0980565
50.58, -0.629671, -0.0138228, -0.230519, -0.634869, -0.0983084
50.59, -0.632036, -0.0202206, -0.235645, -0.637123, -0.0985471
50.6, -0.63432, -0.0266132, -0.240738, -0.63929, -0.0987727
50.61, -0.636521, -0.0329997, -0.245799, -0.641372, -0.098985
50.62, -0.63864, -0.0393794, -0.250825, -0.643367, -0.099184
50.63, -0.640676, -0.0457514, -0.255816, -0.645276, -0.0993698
50.64, -0.642628, -0.0521151, -0.260773, -0.647098, -0.0995423
50.65, -0.644497, -0.0584696, -0.265694, -0.648833, -0.0997015
50.66, -0.646282, -0.0648141, -0.270578, -0.650482, -0.0998474
50.67, -0.647983, -0.0711478, -0.275425, -0.652043, -0.09998
50.68, -0.6496, -0.0774701, -0.280235, -0.653516, -0.100099
50.69, -0.651133, -0.0837801, -0.285006, -0.654903, -0.100205
50.7, -0.652581, -0.090077, -0.289739, -0.656201, -0.100298
50.71, -0.653944, -0.0963601, -0.294433, -0.657412, -0.100377
50.72, -0.655221, -0.102629, -0.299086, -0.658536, -0.100443
50.73, -0.656414, -0.108882, -0.3037, -0.659571, -0.100495
50.74, -0.657522, -0.115119, -0.308272, -0.660519, -0.100534
50.75, -0.658543, -0.121339, -0.312802, -0.661378, -0.10056
50.76, -0.65948, -0.127542, -0.317291, -0.66215, -0.100573
50.77, -0.66033, -0.133727, -0.321737, -0.662833, -0.100572
50.78, -0.661094, -0.139892, -0.32614, -0.663429, -0.100558
50.79, -0.661773, -0.146038, -0.330499, -0.663936, -0.10053
50.8, -0.662365, -0.152163, -0.334814, -0.664355, -0.100489
50.81, -0.662871, -0.158267, -0.339085, -0.664687, -0.100435
50.82, -0.663291, -0.164349, -0.34331, -0.66493, -0.100368
50.83, -0.663624, -0.170408, -0.34749, -0.665086, -0.100288
50.84, -0.663871, -0.176444, -0.351624, -0.665154, -0.100194
50.85, -0.664032, -0.182456, -0.355711, -0.665134, -0.100087
50.86, -0.664106, -0.188443, -0.359751, -0.665026, -0.0999669
