r, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5
0, 0, 0, 0, 0, 0
0.01, -0.00951754, -0.000256553, -0.000130952, -0.0001791, -2.19975e-05
0.02, -0.0190815, -0.000297879, -0.000125329, -0.000178607, -1.69697e-05
0.03, -0.0286737, -0.000187046, -3.34731e-05, -6.51822e-05, 3.83559e-06
0.04, -0.0382786, 2.46457e-05, 0.000105651, 0.000108657, 3.18508e-05
0.05, -0.0478825, 0.00029611, 0.000262666, 0.000302409, 6.07455e-05
0.06, -0.0574736, 0.000595079, 0.000416203, 0.000485713, 8.60378e-05
0.07, -0.0670418, 0.000896853, 0.000551518, 0.000636683, 0.000104755
0.08, -0.0765782, 0.00118317, 0.000659287, 0.000740448, 0.000115139
0.09, -0.0860751, 0.00144121, 0.000734555, 0.00078787, 0.000116391
0.1, -0.0955258, 0.00166268, 0.000775829, 0.000774429, 0.000108454
0.11, -0.104924, 0.00184307, 0.000784298, 0.000699248, 9.18257e-05
0.12, -0.114266, 0.0019809, 0.000763166, 0.000564264, 6.73987e-05
0.13, -0.123545, 0.00207712, 0.00071709, 0.000373504, 3.63306e-05
0.14, -0.132758, 0.00213462, 0.000651701, 0.000132484, -6.77354e-08
0.15, -0.141901, 0.00215769, 0.000573211, -0.000152311, -4.04214e-05
0.16, -0.150971, 0.00215168, 0.000488089, -0.000473851, -8.33647e-05
0.17, -0.159964, 0.00212261, 0.000402796, -0.000824916, -0.000127598
0.18, -0.168877, 0.00207691, 0.000323579, -0.00119838, -0.000171931
0.19, -0.177708, 0.00202115, 0.000256305, -0.00158743, -0.000215317
0.2, -0.186453, 0.00196186, 0.000206343, -0.00198575, -0.000256874
0.21, -0.195109, 0.00190535, 0.00017848, -0.00238766, -0.000295898
0.22, -0.203673, 0.00185756, 0.000176859, -0.00278819, -0.000331871
0.23, -0.212143, 0.00182399, 0.000204953, -0.00318313, -0.000364461
0.24, -0.220516, 0.0018096, 0.000265553, -0.00356908, -0.000393519
0.25, -0.228788, 0.00181876, 0.000360775, -0.00394346, -0.000419069
0.26, -0.236957, 0.00185522, 0.000492085, -0.00430447, -0.000441298
0.27, -0.24502, 0.00192208, 0.000660329, -0.00465107, -0.000460542
0.28, -0.252973, 0.00202178, 0.000865777, -0.00498296, -0.000477271
0.29, -0.260813, 0.00215614, 0.00110817, -0.00530047, -0.000492068
0.3, -0.268537, 0.00232636, 0.00138678, -0.00560456, -0.000505619
0.31, -0.276142, 0.00253302, 0.00170044, -0.00589671, -0.000518686
0.32, -0.283624, 0.00277617, 0.00204766, -0.00617888, -0.000532096
0.33, -0.290981, 0.00305532, 0.0024266, -0.00645341, -0.00054672
0.34, -0.298208, 0.0033695, 0.0028352, -0.00672294, -0.000563455
0.35, -0.305302, 0.00371732, 0.00327122, -0.00699038, -0.000583209
0.36, -0.312261, 0.004097, 0.00373226, -0.0072588, -0.000606888
0.37, -0.319079, 0.00450643, 0.00421584, -0.00753138, -0.000635373
0.38, -0.325755, 0.00494319, 0.00471943, -0.00781132, -0.000669518
0.39, -0.332284, 0.00540467, 0.00524053, -0.00810184, -0.000710128
0.4, -0.338663, 0.00588801, 0.00577665, -0.00840602, -0.000757954
0.41, -0.34489, 0.00639026, 0.00632539, -0.00872687, -0.000813681
0.42, -0.35096, 0.00690834, 0.00688446, -0.00906719, -0.000877922
0.43, -0.35687, 0.00743912, 0.00745171, -0.00942956, -0.000951208
0.44, -0.362618, 0.00797944, 0.00802512, -0.0098163, -0.00103398
0.45, -0.368199, 0.00852618, 0.00860288, -0.0102295, -0.0011266
0.46, -0.373612, 0.00907624, 0.00918334, -0.0106708, -0.00122933
0.47, -0.378853, 0.00962664, 0.00976507, -0.0111417, -0.00134232
0.48, -0.383919, 0.0101745, 0.0103468, -0.0116431, -0.00146566
0.49, -0.388808, 0.010717, 0.0109276, -0.0121759, -0.00159931
0.5, -0.393516, 0.0112515, 0.0115067, -0.0127402, -0.00174314
0.51, -0.398042, 0.0117757, 0.0120833, -0.0133361, -0.00189695
0.52, -0.402383, 0.0122872, 0.0126572, -0.013963, -0.00206041
0.53, -0.406536, 0.012784, 0.0132282, -0.0146203, -0.00223314
0.54, -0.4105, 0.0132643, 0.0137962, -0.0153068, -0.00241465
0.55, -0.414272, 0.0137265, 0.0143614, -0.0160209, -0.0026044
0.56, -0.41785, 0.014169, 0.0149243, -0.0167608, -0.00280173
0.57, -0.421233, 0.0145908, 0.0154852, -0.0175245, -0.00300596
0.58, -0.424419, 0.0149908, 0.0160448, -0.0183094, -0.00321631
0.59, -0.427405, 0.0153683, 0.0166039, -0.0191129, -0.00343198
0.6, -0.430192, 0.0157227, 0.0171633, -0.019932, -0.00365209
0.61, -0.432776, 0.0160537, 0.017724, -0.0207636, -0.00387572
0.62, -0.435158, 0.0163612, 0.018287, -0.0216043, -0.00410195
0.63, -0.437336, 0.0166452, 0.0188533, -0.0224505, -0.00432977
0.64, -0.439309, 0.0169059, 0.019424, -0.0232985, -0.00455821
0.65, -0.441076, 0.0171438, 0.0200003, -0.0241445, -0.00478623
0.66, -0.442637, 0.0173594, 0.0205833, -0.0249846, -0.00501282
0.67, -0.44399, 0.0175534, 0.0211739, -0.0258148, -0.00523695
0.68, -0.445136, 0.0177267, 0.0217734, -0.0266312, -0.00545759
0.69, -0.446074, 0.0178802, 0.0223826, -0.0274297, -0.00567374
0.7, -0.446803, 0.0180149, 0.0230026, -0.0282063, -0.00588438
0.71, -0.447324, 0.0181321, 0.0236342, -0.028957, -0.00608855
0.72, -0.447637, 0.0182329, 0.0242781, -0.029678, -0.00628529
0.73, -0.447741, 0.0183186, 0.0249351, -0.0303654, -0.00647368
0.74, -0.447638, 0.0183906, 0.0256056, -0.0310155, -0.00665284
0.75, -0.447326, 0.0184502, 0.0262902, -0.0316248, -0.00682193
0.76, -0.446806, 0.0184988, 0.0269891, -0.0321899, -0.00698014
0.77, -0.44608, 0.0185379, 0.0277026, -0.0327074, -0.00712673
0.78, -0.445147, 0.0185688, 0.0284305, -0.0331744, -0.007261
0.79, -0.444009, 0.0185928, 0.0291729, -0.033588, -0.00738229
0.8, -0.442665, 0.0186114, 0.0299294, -0.0339455, -0.00749003
0.81, -0.441118, 0.0186258, 0.0306997, -0.0342445, -0.00758368
0.82, -0.439367, 0.0186373, 0.0314831, -0.0344829, -0.00766276
0.83, -0.437414, 0.0186471, 0.0322789, -0.0346587, -0.00772689
0.84, -0.43526, 0.0186563, 0.0330863, -0.0347702, -0.0077757
0.85, -0.432906, 0.0186661, 0.0339042, -0.0348161, -0.00780892
0.86, -0.430353, 0.0186772, 0.0347315, -0.0347951, -0.00782634
0.87, -0.427604, 0.0186908, 0.0355668, -0.0347064, -0.00782779
0.88, -0.424659, 0.0187075, 0.0364087, -0.0345494, -0.0078132
0.89, -0.421519, 0.0187281, 0.0372555, -0.0343238, -0.00778253
0.9, -0.418187, 0.0187532, 0.0381056, -0.0340295, -0.00773583
0.91, -0.414665, 0.0187833, 0.0389572, -0.0336667, -0.00767318
0.92, -0.410953, 0.0188187, 0.0398083, -0.0332359, -0.00759476
0.93, -0.407053, 0.0188599, 0.0406567, -0.0327379, -0.00750077
0.94, -0.402968, 0.0189068, 0.0415005, -0.0321735, -0.00739149
0.95, -0.3987, 0.0189597, 0.0423374, -0.031544, -0.00726726
0.96, -0.394251, 0.0190186, 0.043165, -0.030851, -0.00712844
0.97, -0.389622, 0.0190832, 0.0439811, -0.0300961, -0.00697547
0.98, -0.384816, 0.0191533, 0.0447831, -0.0292812, -0.00680883
0.99, -0.379835, 0.0192287, 0.0455687, -0.0284086, -0.00662904
1, -0.374681, 0.0193088, 0.0463353, -0.0274804, -0.00643666
1.01, -0.369357, 0.0193933, 0.0470804, -0.0264993, -0.0062323
1.02, -0.363865, 0.0194814, 0.0478015, -0.025468, -0.0060166
1.03, -0.358208, 0.0195724, 0.0484961, -0.0243892, -0.00579022
1.04, -0.352388, 0.0196657, 0.0491617, -0.0232662, -0.00555388
1.05, -0.346408, 0.0197604, 0.0497957, -0.0221019, -0.00530829
1.06, -0.34027, 0.0198555, 0.0503957, -0.0208997, -0.00505422
1.07, -0.333978, 0.0199501, 0.0509593, -0.0196629, -0.00479242
1.08, -0.327534, 0.0200432, 0.0514841, -0.0183951, -0.00452371
1.09, -0.32094, 0.0201337, 0.0519678, -0.0170998, -0.00424886
1.1, -0.314201, 0.0202205, 0.0524083, -0.0157806, -0.00396871
1.11, -0.307318, 0.0203025, 0.0528033, -0.0144412, -0.00368407
1.12, -0.300295, 0.0203784, 0.0531507, -0.0130853, -0.00339576
1.13, -0.293135, 0.0204471, 0.0534487, -0.0117167, -0.00310462
1.14, -0.285841, 0.0205074, 0.0536954, -0.0103392, -0.00281146
1.15, -0.278416, 0.0205581, 0.053889, -0.00895636, -0.00251712
1.16, -0.270864, 0.0205979, 0.054028, -0.00757208, -0.0022224
1.17, -0.263188, 0.0206256, 0.0541108, -0.00619002, -0.00192811
1.18, -0.255392, 0.0206401, 0.0541361, -0.00481384, -0.00163504
1.19, -0.247477, 0.0206401, 0.0541026, -0.00344717, -0.00134398
1.2, -0.23945, 0.0206246, 0.0540093, -0.00209354, -0.00105567
1.21, -0.231311, 0.0205923, 0.0538553, -0.000756425, -0.000770858
1.22, -0.223067, 0.0205422, 0.0536398, 0.000560779, -0.000490267
1.23, -0.214719, 0.0204732, 0.0533622, 0.00185478, -0.000214592
1.24, -0.206272, 0.0203845, 0.053022, 0.00312241, 5.54992e-05
1.25, -0.197729, 0.0202749, 0.0526188, 0.00436058, 0.000319362
1.26, -0.189094, 0.0201436, 0.0521526, 0.00556634, 0.000576381
1.27, -0.180372, 0.0199899, 0.0516234, 0.00673689, 0.000825973
1.28, -0.171565, 0.0198129, 0.0510313, 0.00786955, 0.00106758
1.29, -0.162679, 0.019612, 0.0503767, 0.00896177, 0.00130069
1.3, -0.153716, 0.0193865, 0.0496601, 0.0100112, 0.00152482
1.31, -0.144681, 0.0191359, 0.048882, 0.0110155, 0.0017395
1.32, -0.135578, 0.0188598, 0.0480434, 0.0119728, 0.00194432
1.33, -0.126411, 0.0185577, 0.0471452, 0.012881, 0.0021389
1.34, -0.117184, 0.0182295, 0.0461885, 0.0137384, 0.0023229
1.35, -0.107902, 0.0178748, 0.0451746, 0.0145435, 0.002496
1.36, -0.0985676, 0.0174935, 0.0441048, 0.0152949, 0.00265794
1.37, -0.0891863, 0.0170856, 0.0429808, 0.0159913, 0.00280847
1.38, -0.079762, 0.0166512, 0.0418042, 0.0166317, 0.00294741
1.39, -0.0702989, 0.0161904, 0.0405768, 0.0172153, 0.00307459
1.4, -0.0608015, 0.0157035, 0.0393005, 0.0177412, 0.00318989
1.41, -0.051274, 0.0151907, 0.0379774, 0.018209, 0.00329322
1.42, -0.0417208, 0.0146524, 0.0366098, 0.0186184, 0.00338452
1.43, -0.0321463, 0.0140892, 0.0351997, 0.0189691, 0.00346379
1.44, -0.0225549, 0.0135015, 0.0337498, 0.0192611, 0.00353103
1.45, -0.012951, 0.0128902, 0.0322623, 0.0194946, 0.0035863
1.46, -0.00333916, 0.0122559, 0.0307399, 0.0196698, 0.00362968
1.47, 0.00627632, 0.0115993, 0.0291852, 0.0197873, 0.0036613
1.48, 0.0158909, 0.0109215, 0.0276009, 0.0198477, 0.00368129
1.49, 0.0255002, 0.0102234, 0.0259899, 0.0198517, 0.00368983
1.5, 0.0350997, 0.009506, 0.0243549, 0.0198003, 0.00368714
1.51, 0.0446849, 0.00877041, 0.0226988, 0.0196944, 0.00367344
1.52, 0.0542513, 0.00801781, 0.0210247, 0.0195354, 0.00364899
1.53, 0.0637945, 0.00724942, 0.0193353, 0.0193245, 0.00361409
1.54, 0.0733101, 0.00646653, 0.0176338, 0.0190631, 0.00356904
1.55, 0.0827935, 0.00567047, 0.0159232, 0.0187528, 0.00351416
1.56, 0.0922402, 0.00486264, 0.0142065, 0.0183953, 0.00344982
1.57, 0.101646, 0.00404446, 0.0124867, 0.0179924, 0.00337639
1.58, 0.111006, 0.0032174, 0.0107668, 0.0175458, 0.00329425
1.59, 0.120317, 0.00238298, 0.00905, 0.0170576, 0.00320382
1.6, 0.129573, 0.00154272, 0.00733916, 0.0165298, 0.00310551
1.61, 0.13877, 0.00069819, 0.00563732, 0.0159645, 0.00299977
1.62, 0.147905, -0.000149015, 0.00394742, 0.0153638, 0.00288703
1.63, 0.156972, -0.000997293, 0.00227239, 0.0147301, 0.00276776
1.64, 0.165967, -0.00184502, 0.000615096, 0.0140656, 0.00264243
1.65, 0.174887, -0.00269058, -0.00102164, 0.0133726, 0.00251151
1.66, 0.183727, -0.00353233, -0.00263505, 0.0126535, 0.00237548
1.67, 0.192482, -0.00436865, -0.00422242, 0.0119107, 0.00223483
1.68, 0.201149, -0.00519789, -0.00578114, 0.0111467, 0.00209004
1.69, 0.209723, -0.00601846, -0.00730862, 0.0103639, 0.00194162
1.7, 0.218201, -0.00682874, -0.0088024, 0.00956474, 0.00179004
1.71, 0.226578, -0.00762715, -0.0102601, 0.00875169, 0.00163581
1.72, 0.234851, -0.00841212, -0.0116793, 0.00792721, 0.00147941
1.73, 0.243015, -0.00918212, -0.013058, 0.00709375, 0.00132132
1.74, 0.251067, -0.00993564, -0.0143939, 0.00625373, 0.00116203
1.75, 0.259002, -0.0106712, -0.015685, 0.00540956, 0.00100201
1.76, 0.266818, -0.0113874, -0.0169295, 0.00456363, 0.000841728
1.77, 0.274509, -0.0120828, -0.0181256, 0.00371827, 0.000681643
1.78, 0.282074, -0.0127561, -0.0192714, 0.00287579, 0.000522204
1.79, 0.289507, -0.0134059, -0.0203656, 0.00203844, 0.000363852
1.8, 0.296806, -0.0140311, -0.0214065, 0.00120844, 0.000207014
1.81, 0.303967, -0.0146304, -0.022393, 0.000387924, 5.21066e-05
1.82, 0.310987, -0.0152027, -0.0233237, -0.00042101, -0.000100467
1.83, 0.317863, -0.0157469, -0.0241976, -0.00121634, -0.000250318
1.84, 0.32459, -0.016262, -0.0250136, -0.00199611, -0.000397072
1.85, 0.331167, -0.0167471, -0.025771, -0.00275843, -0.000540369
1.86, 0.337589, -0.0172013, -0.026469, -0.0035015, -0.000679867
1.87, 0.343854, -0.0176237, -0.0271071, -0.00422361, -0.000815239
1.88, 0.349959, -0.0180136, -0.0276847, -0.00492309, -0.000946175
1.89, 0.355901, -0.0183704, -0.0282014, -0.0055984, -0.00107238
1.9, 0.361678, -0.0186934, -0.0286572, -0.00624808, -0.00119359
1.91, 0.367286, -0.0189822, -0.0290518, -0.00687073, -0.00130954
1.92, 0.372723, -0.0192362, -0.0293853, -0.00746509, -0.00141999
1.93, 0.377987, -0.0194551, -0.0296578, -0.00802996, -0.00152473
1.94, 0.383074, -0.0196386, -0.0298696, -0.00856424, -0.00162356
1.95, 0.387983, -0.0197865, -0.030021, -0.00906694, -0.0017163
1.96, 0.392712, -0.0198987, -0.0301126, -0.00953716, -0.00180279
1.97, 0.397257, -0.019975, -0.0301449, -0.00997411, -0.00188288
1.98, 0.401618, -0.0200155, -0.0301186, -0.0103771, -0.00195645
1.99, 0.405792, -0.0200202, -0.0300347, -0.0107455, -0.00202341
2, 0.409777, -0.0199893, -0.0298939, -0.0110788, -0.00208367
2.01, 0.413571, -0.0199231, -0.0296973, -0.0113766, -0.00213716
2.02, 0.417173, -0.0198219, -0.0294461, -0.0116386, -0.00218384
2.03, 0.420581, -0.019686, -0.0291414, -0.0118646, -0.00222368
2.04, 0.423793, -0.0195158, -0.0287846, -0.0120544, -0.00225668
2.05, 0.426809, -0.019312, -0.028377, -0.0122082, -0.00228284
2.06, 0.429626, -0.019075, -0.0279202, -0.0123258, -0.00230218
2.07, 0.432243, -0.0188056, -0.0274156, -0.0124076, -0.00231477
2.08, 0.43466, -0.0185045, -0.026865, -0.0124536, -0.00232064
2.09, 0.436874, -0.0181723, -0.0262699, -0.0124644, -0.00231989
2.1, 0.438887, -0.01781, -0.0256322, -0.0124403, -0.00231261
2.11, 0.440695, -0.0174185, -0.0249537, -0.0123818, -0.0022989
2.12, 0.442299, -0.0169987, -0.0242363, -0.0122895, -0.00227889
2.13, 0.443698, -0.0165515, -0.0234819, -0.0121641, -0.00225271
2.14, 0.444891, -0.0160782, -0.0226925, -0.0120062, -0.00222052
2.15, 0.445878, -0.0155797, -0.0218701, -0.0118168, -0.00218249
2.16, 0.446659, -0.0150572, -0.0210168, -0.0115967, -0.00213877
2.17, 0.447233, -0.0145118, -0.0201347, -0.0113468, -0.00208958
2.18, 0.4476, -0.0139449, -0.0192259, -0.0110681, -0.0020351
2.19, 0.44776, -0.0133577, -0.0182926, -0.0107617, -0.00197554
2.2, 0.447713, -0.0127514, -0.017337, -0.0104288, -0.00191113
2.21, 0.447459, -0.0121274, -0.0163611, -0.0100704, -0.00184209
2.22, 0.446998, -0.011487, -0.0153673, -0.00968779, -0.00176865
2.23, 0.446331, -0.0108316, -0.0143578, -0.00928225, -0.00169107
2.24, 0.445457, -0.0101627, -0.0133347, -0.00885505, -0.00160959
2.25, 0.444379, -0.00948152, -0.0123003, -0.00840754, -0.00152447
2.26, 0.443095, -0.0087896, -0.0112567, -0.00794107, -0.00143598
2.27, 0.441607, -0.00808835, -0.0102062, -0.00745705, -0.00134437
2.28, 0.439915, -0.00737922, -0.00915085, -0.00695689, -0.00124992
2.29, 0.438021, -0.00666365, -0.00809292, -0.00644203, -0.0011529
2.3, 0.435925, -0.00594311, -0.00703449, -0.00591393, -0.00105359
2.31, 0.433628, -0.00521903, -0.00597767, -0.00537407, -0.000952273
2.32, 0.431132, -0.00449287, -0.00492453, -0.00482393, -0.00084922
2.33, 0.428438, -0.00376606, -0.00387711, -0.00426499, -0.000744714
2.34, 0.425546, -0.00304004, -0.00283741, -0.00369874, -0.000639033
2.35, 0.42246, -0.00231622, -0.00180739, -0.00312669, -0.000532457
2.36, 0.419179, -0.001596, -0.000788963, -0.00255031, -0.000425263
2.37, 0.415705, -0.000880758, 0.000216008, -0.00197109, -0.000317725
2.38, 0.412041, -0.000171862, 0.00120571, -0.00139048, -0.000210116
2.39, 0.408188, 0.000529352, 0.00217837, -0.000809955, -0.000102704
2.4, 0.404147, 0.00122157, 0.0031323, -0.00023094, 4.24673e-06
2.41, 0.399922, 0.00190352, 0.00406584, 0.000345146, 0.000110475
2.42, 0.395513, 0.00257394, 0.00497742, 0.000916911, 0.000215726
2.43, 0.390923, 0.00323162, 0.0058655, 0.00148299, 0.000319751
2.44, 0.386153, 0.00387537, 0.00672864, 0.00204204, 0.000422305
2.45, 0.381207, 0.00450405, 0.00756545, 0.00259276, 0.000523151
2.46, 0.376087, 0.00511656, 0.0083746, 0.00313388, 0.00062206
2.47, 0.370794, 0.00571182, 0.00915486, 0.00366417, 0.000718808
2.48, 0.365332, 0.00628882, 0.00990505, 0.00418242, 0.000813181
2.49, 0.359703, 0.00684659, 0.0106241, 0.00468749, 0.000904971
2.5, 0.35391, 0.00738418, 0.0113109, 0.00517826, 0.000993982
2.51, 0.347954, 0.00790073, 0.0119645, 0.00565366, 0.00108002
2.52, 0.34184, 0.0083954, 0.0125842, 0.00611269, 0.00116291
2.53, 0.33557, 0.0088674, 0.013169, 0.00655436, 0.00124248
2.54, 0.329146, 0.009316, 0.0137182, 0.00697776, 0.00131857
2.55, 0.322572, 0.00974053, 0.0142313, 0.00738203, 0.00139102
2.56, 0.315851, 0.0101404, 0.0147077, 0.00776633, 0.00145969
2.57, 0.308986, 0.0105149, 0.0151468, 0.00812992, 0.00152446
2.58, 0.30198, 0.0108637, 0.0155482, 0.00847209, 0.00158521
2.59, 0.294836, 0.0111862, 0.0159117, 0.00879218, 0.00164181
2.6, 0.287558, 0.011482, 0.016237, 0.00908961, 0.00169418
2.61, 0.280148, 0.0117509, 0.0165239, 0.00936383, 0.00174222
2.62, 0.272611, 0.0119924, 0.0167723, 0.00961437, 0.00178586
2.63, 0.26495, 0.0122064, 0.0169821, 0.0098408, 0.00182503
2.64, 0.257168, 0.0123927, 0.0171535, 0.0100428, 0.00185967
2.65, 0.249268, 0.0125511, 0.0172866, 0.01022, 0.00188974
2.66, 0.241255, 0.0126815, 0.0173814, 0.0103721, 0.0019152
2.67, 0.233133, 0.0127841, 0.0174385, 0.0104991, 0.00193602
2.68, 0.224904, 0.0128587, 0.0174579, 0.0106008, 0.0019522
2.69, 0.216572, 0.0129055, 0.0174402, 0.010677, 0.00196373
2.7, 0.208142, 0.0129246, 0.0173859, 0.0107278, 0.00197061
2.71, 0.199617, 0.0129163, 0.0172954, 0.0107532, 0.00197287
2.72, 0.191001, 0.0128807, 0.0171693, 0.0107533, 0.00197053
2.73, 0.182298, 0.0128182, 0.0170084, 0.0107283, 0.00196362
2.74, 0.173512, 0.0127292, 0.0168133, 0.0106784, 0.0019522
2.75, 0.164646, 0.0126139, 0.0165848, 0.0106037, 0.00193632
2.76, 0.155706, 0.0124729, 0.0163237, 0.0105047, 0.00191605
2.77, 0.146695, 0.0123067, 0.0160309, 0.0103817, 0.00189145
2.78, 0.137617, 0.0121158, 0.0157073, 0.0102351, 0.00186262
2.79, 0.128476, 0.0119007, 0.015354, 0.0100654, 0.00182963
2.8, 0.119276, 0.0116621, 0.0149718, 0.00987296, 0.0017926
2.81, 0.110023, 0.0114007, 0.014562, 0.00965845, 0.00175163
2.82, 0.100718, 0.0111171, 0.0141256, 0.00942242, 0.00170683
2.83, 0.0913681, 0.0108121, 0.0136637, 0.00916551, 0.00165833
2.84, 0.0819762, 0.0104865, 0.0131775, 0.00888839, 0.00160624
2.85, 0.0725467, 0.010141, 0.0126682, 0.00859176, 0.00155072
2.86, 0.063084, 0.00977652, 0.012137, 0.00827636, 0.00149189
2.87, 0.0535923, 0.00939389, 0.0115853, 0.00794297, 0.00142991
2.88, 0.044076, 0.00899401, 0.0110143, 0.0075924, 0.00136492
2.89, 0.0345394, 0.00857781, 0.0104253, 0.00722549, 0.00129709
2.9, 0.0249868, 0.00814621, 0.00981969, 0.00684311, 0.00122657
2.91, 0.0154226, 0.00770019, 0.00919874, 0.00644613, 0.00115353
2.92, 0.005851, 0.00724073, 0.00856386, 0.00603549, 0.00107814
2.93, -0.00372352, 0.00676883, 0.0079164, 0.00561212, 0.00100058
2.94, -0.0132966, 0.0062855, 0.00725775, 0.00517698, 0.000921008
2.95, -0.022864, 0.00579179, 0.00658929, 0.00473104, 0.000839618
2.96, -0.0324214, 0.00528873, 0.00591242, 0.00427529, 0.000756587
2.97, -0.0419643, 0.00477737, 0.00522852, 0.00381073, 0.000672097
2.98, -0.0514884, 0.00425878, 0.00453899, 0.00333838, 0.000586334
2.99, -0.0609894, 0.00373402, 0.0038452, 0.00285926, 0.000499482
3, -0.070463, 0.00320416, 0.00314854, 0.0023744, 0.000411728
3.01, -0.0799049, 0.00267027, 0.00245037, 0.00188484, 0.000323259
3.02, -0.0893108, 0.00213342, 0.00175205, 0.00139161, 0.000234261
3.03, -0.0986763, 0.00159468, 0.00105493, 0.000895749, 0.000144922
3.04, -0.107997, 0.00105511, 0.000360327, 0.000398294, 5.54253e-05
3.05, -0.117269, 0.000515771, -0.000330439, -9.97238e-05, -3.40432e-05
3.06, -0.126489, -2.22874e-05, -0.00101608, -0.000597277, -0.000123301
3.07, -0.13565, -0.000558027, -0.00169534, -0.00109335, -0.000212165
3.08, -0.144751, -0.00109042, -0.00236696, -0.00158692, -0.000300459
3.09, -0.153786, -0.00161845, -0.00302973, -0.00207701, -0.000388004
3.1, -0.162751, -0.00214112, -0.00368246, -0.00256262, -0.000474627
3.11, -0.171642, -0.00265745, -0.00432399, -0.00304278, -0.000560157
3.12, -0.180455, -0.00316647, -0.0049532, -0.00351654, -0.000644426
3.13, -0.189187, -0.00366724, -0.00556899, -0.00398297, -0.00072727
3.14, -0.197832, -0.00415884, -0.0061703, -0.00444115, -0.00080853
3.15, -0.206388, -0.00464038, -0.00675611, -0.00489018, -0.00088805
3.16, -0.21485, -0.00511096, -0.00732544, -0.0053292, -0.000965678
3.17, -0.223214, -0.00556976, -0.00787733, -0.00575736, -0.00104127
3.18, -0.231477, -0.00601595, -0.00841087, -0.00617385, -0.00111468
3.19, -0.239634, -0.00644873, -0.00892522, -0.00657786, -0.00118577
3.2, -0.247683, -0.00686734, -0.00941953, -0.00696864, -0.00125442
3.21, -0.255618, -0.00727106, -0.00989304, -0.00734545, -0.0013205
3.22, -0.263437, -0.00765918, -0.010345, -0.00770759, -0.00138388
3.23, -0.271137, -0.00803103, -0.0107747, -0.00805439, -0.00144446
3.24, -0.278712, -0.00838599, -0.0111816, -0.00838521, -0.00150212
3.25, -0.286161, -0.00872345, -0.011565, -0.00869945, -0.00155677
3.26, -0.293479, -0.00904285, -0.0119243, -0.00899654, -0.00160831
3.27, -0.300663, -0.00934367, -0.0122592, -0.00927595, -0.00165665
3.28, -0.307711, -0.00962541, -0.012569, -0.00953717, -0.00170171
3.29, -0.314617, -0.00988762, -0.0128535, -0.00977976, -0.00174341
3.3, -0.32138, -0.0101299, -0.0131122, -0.0100033, -0.00178169
3.31, -0.327997, -0.0103518, -0.0133449, -0.0102073, -0.00181648
3.32, -0.334463, -0.0105531, -0.0135512, -0.0103916, -0.00184773
3.33, -0.340777, -0.0107335, -0.013731, -0.0105558, -0.00187539
3.34, -0.346935, -0.0108926, -0.0138841, -0.0106996, -0.00189942
3.35, -0.352934, -0.0110303, -0.0140104, -0.0108228, -0.00191979
3.36, -0.358772, -0.0111464, -0.0141098, -0.0109252, -0.00193647
3.37, -0.364446, -0.0112407, -0.0141823, -0.0110067, -0.00194943
3.38, -0.369954, -0.0113132, -0.0142279, -0.0110672, -0.00195868
3.39, -0.375291, -0.0113637, -0.0142467, -0.0111065, -0.00196419
3.4, -0.380458, -0.0113923, -0.0142388, -0.0111246, -0.00196597
3.41, -0.38545, -0.011399, -0.0142044, -0.0111216, -0.00196403
3.42, -0.390265, -0.0113838, -0.0141437, -0.0110976, -0.00195838
3.43, -0.394902, -0.0113469, -0.0140569, -0.0110525, -0.00194905
3.44, -0.399358, -0.0112883, -0.0139443, -0.0109864, -0.00193606
3.45, -0.40363, -0.0112082, -0.0138063, -0.0108997, -0.00191944
3.46, -0.407718, -0.0111069, -0.0136432, -0.0107924, -0.00189924
3.47, -0.411619, -0.0109845, -0.0134555, -0.0106648, -0.00187549
3.48, -0.415331, -0.0108414, -0.0132437, -0.0105172, -0.00184827
3.49, -0.418853, -0.0106779, -0.0130081, -0.0103498, -0.00181761
3.5, -0.422182, -0.0104942, -0.0127494, -0.010163, -0.00178359
3.51, -0.425318, -0.0102909, -0.0124681, -0.00995716, -0.00174628
3.52, -0.428258, -0.0100682, -0.0121649, -0.0097327, -0.00170575
3.53, -0.431002, -0.0098267, -0.0118403, -0.00949003, -0.00166209
3.54, -0.433548, -0.00956681, -0.011495, -0.00922962, -0.00161537
3.55, -0.435895, -0.00928905, -0.0111298, -0.00895197, -0.0015657
3.56, -0.438042, -0.00899394, -0.0107453, -0.00865759, -0.00151316
3.57, -0.439988, -0.00868206, -0.0103423, -0.00834704, -0.00145786
3.58, -0.441731, -0.00835398, -0.00992165, -0.00802089, -0.0013999
3.59, -0.443272, -0.00801031, -0.00948406, -0.00767974, -0.00133939
3.6, -0.444609, -0.0076517, -0.00903039, -0.00732422, -0.00127645
3.61, -0.445741, -0.00727879, -0.0085615, -0.00695497, -0.00121118
3.62, -0.446669, -0.00689229, -0.00807826, -0.00657266, -0.00114371
3.63, -0.447391, -0.00649287, -0.00758154, -0.00617799, -0.00107417
3.64, -0.447908, -0.00608127, -0.00707227, -0.00577165, -0.00100267
3.65, -0.448219, -0.00565822, -0.00655135, -0.00535438, -0.00092935
3.66, -0.448323, -0.00522447, -0.00601973, -0.00492692, -0.000854339
