r, Channel 1
3.18, 0.996134
3.19, 0.996532
3.2, 0.996909
3.21, 0.997264
3.22, 0.997597
3.23, 0.997908
3.24, 0.998198
3.25, 0.998466
3.26, 0.998712
3.27, 0.998937
3.28, 0.99914
3.29, 0.999321
3.3, 0.99948
3.31, 0.999618
3.32, 0.999734
3.33, 0.999828
3.34, 0.999901
3.35, 0.999951
3.36, 0.99998
3.37, 0.999988
3.38, 0.999973
3.39, 0.999937
3.4, 0.999879
3.41, 0.999799
3.42, 0.999697
3.43, 0.999574
3.44, 0.999429
3.45, 0.999262
3.46, 0.999074
3.47, 0.998864
3.48, 0.998632
3.49, 0.998378
3.5, 0.998103
3.51, 0.997806
3.52, 0.997487
3.53, 0.997147
3.54, 0.996784
3.55, 0.996401
3.56, 0.995995
3.57, 0.995568
3.58, 0.995119
3.59, 0.994649
3.6, 0.994157
3.61, 0.993643
3.62, 0.993108
3.63, 0.992551
3.64, 0.991972
3.65, 0.991372
3.66, 0.990751
3.67, 0.990108
3.68, 0.989443
3.69, 0.988757
3.7, 0.988049
3.71, 0.98732
3.72, 0.986569
3.73, 0.985797
3.74, 0.985003
3.75, 0.984188
3.76, 0.983352
3.77, 0.982494
3.78, 0.981615
3.79, 0.980715
3.8, 0.979793
3.81, 0.97885
3.82, 0.977885
3.83, 0.9769
3.84, 0.975893
3.85, 0.974864
3.86, 0.973815
3.87, 0.972745
3.88, 0.971653
3.89, 0.97054
3.9, 0.969406
3.91, 0.968251
3.92, 0.967075
3.93, 0.965878
3.94, 0.96466
3.95, 0.963421
3.96, 0.962161
3.97, 0.96088
3.98, 0.959578
3.99, 0.958255
4, 0.956912
4.01, 0.955547
4.02, 0.954162
4.03, 0.952756
4.04, 0.95133
4.05, 0.949882
4.06, 0.948414
4.07, 0.946926
4.08, 0.945417
4.09, 0.943887
4.1, 0.942337
4.11, 0.940766
4.12, 0.939175
4.13, 0.937563
4.14, 0.935931
4.15, 0.934278
4.16, 0.932606
4.17, 0.930913
4.18, 0.929199
4.19, 0.927466
4.2, 0.925712
4.21, 0.923939
4.22, 0.922145
4.23, 0.920331
4.24, 0.918497
4.25, 0.916643
4.26, 0.914769
4.27, 0.912875
4.28, 0.910962
4.29, 0.909029
4.3, 0.907075
4.31, 0.905102
4.32, 0.90311
4.33, 0.901098
4.34, 0.899066
4.35, 0.897015
4.36, 0.894944
4.37, 0.892853
4.38, 0.890744
4.39, 0.888614
4.4, 0.886466
4.41, 0.884298
4.42, 0.882111
4.43, 0.879905
4.44, 0.87768
4.45, 0.875436
4.46, 0.873172
4.47, 0.87089
4.48, 0.868588
4.49, 0.866268
4.5, 0.863929
4.51, 0.861571
4.52, 0.859195
4.53, 0.856799
4.54, 0.854386
4.55, 0.851953
4.56, 0.849502
4.57, 0.847033
4.58, 0.844545
4.59, 0.842038
4.6, 0.839514
4.61, 0.836971
4.62, 0.83441
4.63, 0.831831
4.64, 0.829233
4.65, 0.826618
4.66, 0.823985
4.67, 0.821334
4.68, 0.818665
4.69, 0.815978
4.7, 0.813273
4.71, 0.810551
4.72, 0.807811
4.73, 0.805053
4.74, 0.802278
4.75, 0.799486
4.76, 0.796676
4.77, 0.793849
4.78, 0.791004
4.79, 0.788143
4.8, 0.785264
4.81, 0.782368
4.82, 0.779455
4.83, 0.776525
4.84, 0.773579
4.85, 0.770615
4.86, 0.767635
4.87, 0.764638
4.88, 0.761624
4.89, 0.758594
4.9, 0.755547
4.91, 0.752484
4.92, 0.749405
4.93, 0.746309
4.94, 0.743197
4.95, 0.740069
4.96, 0.736924
4.97, 0.733764
4.98, 0.730588
4.99, 0.727396
5, 0.724188
5.01, 0.720964
5.02, 0.717725
5.03, 0.71447
5.04, 0.711199
5.05, 0.707913
5.06, 0.704612
5.07, 0.701295
5.08, 0.697963
5.09, 0.694616
5.1, 0.691254
5.11, 0.687876
5.12, 0.684484
5.13, 0.681077
5.14, 0.677655
5.15, 0.674218
5.16, 0.670767
5.17, 0.667301
5.18, 0.663821
5.19, 0.660326
5.2, 0.656817
5.21, 0.653293
5.22, 0.649755
5.23, 0.646203
5.24, 0.642637
5.25, 0.639058
5.26, 0.635464
5.27, 0.631856
5.28, 0.628235
5.29, 0.6246
5.3, 0.620951
5.31, 0.617289
5.32, 0.613614
5.33, 0.609925
5.34, 0.606223
5.35, 0.602507
5.36, 0.598779
5.37, 0.595037
5.38, 0.591283
5.39, 0.587516
5.4, 0.583736
5.41, 0.579943
5.42, 0.576138
5.43, 0.57232
5.44, 0.568489
5.45, 0.564647
5.46, 0.560792
5.47, 0.556925
5.48, 0.553045
5.49, 0.549154
5.5, 0.545251
5.51, 0.541336
5.52, 0.537409
5.53, 0.53347
5.54, 0.52952
5.55, 0.525559
5.56, 0.521585
5.57, 0.517601
5.58, 0.513605
5.59, 0.509598
5.6, 0.505581
5.61, 0.501552
5.62, 0.497512
5.63, 0.493461
5.64, 0.4894
5.65, 0.485328
5.66, 0.481245
5.67, 0.477152
5.68, 0.473048
5.69, 0.468935
5.7, 0.464811
5.71, 0.460677
5.72, 0.456533
5.73, 0.452379
5.74, 0.448215
5.75, 0.444041
5.76, 0.439858
5.77, 0.435665
5.78, 0.431463
5.79, 0.427251
5.8, 0.42303
5.81, 0.4188
5.82, 0.414561
5.83, 0.410313
5.84, 0.406056
5.85, 0.40179
5.86, 0.397515
5.87, 0.393231
5.88, 0.388939
5.89, 0.384639
5.9, 0.38033
5.91, 0.376013
5.92, 0.371688
5.93, 0.367355
5.94, 0.363013
5.95, 0.358664
5.96, 0.354307
5.97, 0.349942
5.98, 0.34557
5.99, 0.34119
6, 0.336803
6.01, 0.332409
6.02, 0.328007
6.03, 0.323598
6.04, 0.319182
6.05, 0.314759
6.06, 0.310329
6.07, 0.305893
6.08, 0.301449
6.09, 0.297
6.1, 0.292544
6.11, 0.288081
6.12, 0.283612
6.13, 0.279137
6.14, 0.274656
6.15, 0.270169
6.16, 0.265676
6.17, 0.261178
6.18, 0.256673
6.19, 0.252163
6.2, 0.247648
6.21, 0.243127
6.22, 0.238601
6.23, 0.23407
6.24, 0.229533
6.25, 0.224992
6.26, 0.220446
6.27, 0.215895
6.28, 0.211339
6.29, 0.206779
6.3, 0.202214
6.31, 0.197645
6.32, 0.193071
6.33, 0.188493
6.34, 0.183912
6.35, 0.179326
6.36, 0.174736
6.37, 0.170142
6.38, 0.165545
6.39, 0.160944
6.4, 0.15634
6.41, 0.151732
6.42, 0.147121
6.43, 0.142507
6.44, 0.13789
6.45, 0.133269
6.46, 0.128646
6.47, 0.12402
6.48, 0.119391
6.49, 0.11476
6.5, 0.110126
6.51, 0.10549
6.52, 0.100852
6.53, 0.0962109
6.54, 0.0915681
6.55, 0.0869234
6.56, 0.0822767
6.57, 0.0776282
6.58, 0.0729781
6.59, 0.0683264
6.6, 0.0636731
6.61, 0.0590185
6.62, 0.0543626
6.63, 0.0497056
6.64, 0.0450474
6.65, 0.0403883
6.66, 0.0357283
6.67, 0.0310675
6.68, 0.026406
6.69, 0.021744
6.7, 0.0170815
6.71, 0.0124186
6.72, 0.00775547
6.73, 0.00309215
6.74, 0.00157123
6.75, 0.00623459
6.76, 0.0108978
6.77, 0.0155608
6.78, 0.0202234
6.79, 0.0248856
6.8, 0.0295473
6.81, 0.0342083
6.82, 0.0388686
6.83, 0.043528
6.84, 0.0481865
6.85, 0.0528439
6.86, 0.0575002
6.87, 0.0621552
6.88, 0.0668089
6.89, 0.0714611
6.9, 0.0761118
6.91, 0.0807608
6.92, 0.0854081
6.93, 0.0900535
6.94, 0.0946969
6.95, 0.0993383
6.96, 0.103978
6.97, 0.108615
6.98, 0.113249
6.99, 0.117881
7, 0.122511
7.01, 0.127138
7.02, 0.131762
7.03, 0.136383
7.04, 0.141002
7.05, 0.145617
7.06, 0.150229
7.07, 0.154838
7.08, 0.159443
7.09, 0.164045
7.1, 0.168644
7.11, 0.173238
7.12, 0.177829
7.13, 0.182416
7.14, 0.186999
7.15, 0.191579
7.16, 0.196153
7.17, 0.200724
7.18, 0.20529
7.19, 0.209852
7.2, 0.214409
7.21, 0.218962
7.22, 0.22351
7.23, 0.228053
7.24, 0.232591
7.25, 0.237124
7.26, 0.241652
7.27, 0.246174
7.28, 0.250691
7.29, 0.255203
7.3, 0.259709
7.31, 0.26421
7.32, 0.268705
7.33, 0.273193
7.34, 0.277676
7.35, 0.282153
7.36, 0.286624
7.37, 0.291089
7.38, 0.295547
7.39, 0.299999
7.4, 0.304444
7.41, 0.308883
7.42, 0.313315
7.43, 0.31774
7.44, 0.322158
7.45, 0.32657
7.46, 0.330974
