r Channel_1(Re) Channel_1(Im) Channel_2(Re) Channel_2(Im)
12.2 -0.30469 1.14091 0.0567723 0.301041
12.3 -0.114596 0.626065 -0.102151 0.763107
12.4 0.076253 0.107825 -0.261204 1.22428
12.5 0.266951 -0.411352 -0.419873 1.68311
12.6 0.456566 -0.92894 -0.577606 2.13802
12.7 0.644155 -1.44238 -0.733828 2.58741
12.8 0.828783 -1.94914 -0.887966 3.02967
12.9 1.00954 -2.44674 -1.03947 3.46326
13 1.18558 -2.93282 -1.18785 3.8868
13.1 1.35609 -3.4052 -1.33268 4.29906
13.2 1.52037 -3.86189 -1.47362 4.69911
13.3 1.67778 -4.30113 -1.61044 5.08621
13.4 1.82777 -4.72133 -1.74297 5.45989
13.5 1.96985 -5.12112 -1.87113 5.81981
13.6 2.10359 -5.49922 -1.99483 6.16573
13.7 2.22855 -5.85436 -2.11399 6.49732
13.8 2.34428 -6.18523 -2.2284 6.81404
13.9 2.45028 -6.4904 -2.33777 7.11504
14 2.54595 -6.76822 -2.44163 7.39904
14.1 2.63067 -7.0169 -2.53935 7.66439
14.2 2.70375 -7.23456 -2.63022 7.90917
14.3 2.76458 -7.41947 -2.71354 8.13155
14.4 2.81271 -7.57036 -2.78882 8.3302
14.5 2.84799 -7.68673 -2.85594 8.50482
14.6 2.87067 -7.7691 -2.91531 8.65648
14.7 2.88136 -7.81898 -2.96783 8.78755
14.8 2.8807 -7.83792 -3.01438 8.90034
14.9 2.86848 -7.82528 -3.0545 8.99366
15 -0.128439 -1.78611 1.02337 0.499716
15.1 -0.160492 -1.71488 0.996116 0.551307
15.2 -0.191846 -1.63618 0.966247 0.601454
15.3 -0.222367 -1.55037 0.933842 0.650021
15.4 -0.251921 -1.45783 0.898984 0.696881
15.5 -0.280379 -1.35894 0.86176 0.741907
15.6 -0.307619 -1.25414 0.822266 0.784979
15.7 -0.33352 -1.14389 0.780603 0.82598
15.8 -0.357972 -1.02867 0.736879 0.8648
15.9 -0.380867 -0.908974 0.691208 0.901334
16 -0.402107 -0.785326 0.643706 0.935482
16.1 -0.421597 -0.658264 0.594499 0.967152
16.2 -0.439255 -0.52834 0.543715 0.996256
16.3 -0.455003 -0.396118 0.491488 1.02271
16.4 -0.468773 -0.262174 0.437954 1.04645
16.5 -0.480504 -0.12709 0.383254 1.06741
16.6 -0.490146 0.00854639 0.327534 1.08552
16.7 -0.497657 0.144146 0.270941 1.10074
16.8 -0.503005 0.279118 0.213624 1.11302
16.9 -0.506165 0.412877 0.155737 1.12233
17 -0.507124 0.544841 0.0974331 1.12863
17.1 -0.505878 0.674436 0.0388687 1.13192
17.2 -0.502433 0.801098 -0.0197998 1.13217
17.3 -0.496804 0.924278 -0.0784152 1.12939
17.4 -0.489014 1.04344 -0.13682 1.12358
17.5 -0.479098 1.15806 -0.194858 1.11474
17.6 -0.467099 1.26765 -0.252371 1.10292
17.7 -0.453069 1.37173 -0.309206 1.08812
17.8 -0.437069 1.46984 -0.365208 1.0704
17.9 -0.419168 1.56156 -0.420226 1.04979
18 -0.399445 1.64649 -0.474111 1.02635
18.1 -0.377986 1.72427 -0.526716 1.00014
18.2 -0.354882 1.79454 -0.577898 0.971226
18.3 -0.330236 1.85702 -0.627519 0.93969
18.4 -0.304154 1.91141 -0.675442 0.905612
18.5 -0.27675 1.9575 -0.721537 0.869082
18.6 -0.248142 1.99508 -0.765677 0.830199
18.7 -0.218455 2.02398 -0.807742 0.789065
18.8 -0.187819 2.04409 -0.847616 0.745791
18.9 -0.156366 2.0553 -0.88519 0.700493
19 -0.124233 2.05758 -0.920359 0.653292
19.1 -0.0915593 2.05091 -0.953027 0.604316
19.2 -0.058488 2.03533 -0.983103 0.553696
19.3 -0.0251624 2.01089 -1.0105 0.50157
19.4 0.00827259 1.97771 -1.03515 0.448078
19.5 0.0416716 1.93594 -1.05698 0.393365
19.6 0.0748895 1.88574 -1.07593 0.33758
19.7 0.107782 1.82735 -1.09194 0.280873
19.8 0.140205 1.76101 -1.10497 0.223401
19.9 0.172019 1.68701 -1.11499 0.165318
20 0.203085 1.60568 -1.12196 0.106783
