r Channel_1(Re) Channel_1(Im) Channel_1(abs) Channel_2(Re) Channel_2(Im) Channel_2(abs)
8.6 -0.274389 -0.506125 0.575718 -0.130965 -0.891746 0.901312
8.7 -0.513901 -0.452121 0.684476 -0.000772768 -0.894144 0.894144
8.8 -0.739021 -0.385457 0.833504 0.129435 -0.878047 0.887536
8.9 -0.943446 -0.307998 0.992448 0.256962 -0.843772 0.882032
9 -1.12145 -0.221914 1.1432 0.379165 -0.792015 0.878097
9.1 -1.26805 -0.129616 1.27466 0.493505 -0.723835 0.876062
9.2 -1.37914 -0.0336875 1.37955 0.597603 -0.640634 0.876094
9.3 -1.4516 0.0631839 1.45298 0.68929 -0.544129 0.878178
9.4 -1.48342 0.158286 1.49184 0.766651 -0.436315 0.882114
9.5 -1.4737 0.248955 1.49458 0.828068 -0.319428 0.887542
9.6 -1.4227 0.332653 1.46107 0.872252 -0.195893 0.893979
9.7 -1.33187 0.407035 1.39268 0.898271 -0.068279 0.900862
9.8 -1.20373 0.470019 1.29224 0.905571 0.0607576 0.907607
9.9 -1.04189 0.51984 1.16438 0.893989 0.188527 0.913652
10 -0.837426 0.513788 0.982477 0.836891 0.271506 0.87983
10.1 -0.622769 0.534086 0.82042 0.788906 0.389248 0.879708
10.2 -0.390672 0.539427 0.666038 0.724443 0.498858 0.879589
10.3 -0.147635 0.529662 0.549853 0.64484 0.598043 0.879474
10.4 0.0995366 0.505066 0.51478 0.551754 0.684723 0.879362
10.5 0.343921 0.466325 0.579431 0.447124 0.757077 0.879253
10.6 0.578674 0.414526 0.711825 0.333136 0.813585 0.879147
10.7 0.797222 0.351118 0.871118 0.212172 0.853055 0.879045
10.8 0.993445 0.277878 1.03158 0.0867626 0.874652 0.878945
10.9 1.16185 0.196857 1.17841 -0.0404652 0.877916 0.878848
11 1.29772 0.110322 1.3024 -0.166844 0.862769 0.878753
11.1 1.39724 0.0206987 1.3974 -0.289723 0.829522 0.878661
11.2 1.45764 -0.0695046 1.4593 -0.40652 0.778865 0.878572
11.3 1.47722 -0.157762 1.48562 -0.514782 0.711854 0.878485
11.4 1.45543 -0.241601 1.47535 -0.61223 0.62989 0.8784
11.5 1.39289 -0.318674 1.42888 -0.696813 0.53469 0.878318
11.6 1.29134 -0.386823 1.34803 -0.766748 0.42825 0.878238
11.7 1.15363 -0.44414 1.23617 -0.820559 0.312805 0.878159
11.8 0.983608 -0.48902 1.09846 -0.857107 0.190779 0.878083
11.9 0.786045 -0.520205 0.942592 -0.875619 0.0647391 0.878009
12 0.566471 -0.536823 0.780428 -0.875697 -0.0626638 0.877936
12.1 0.331033 -0.538407 0.632033 -0.857335 -0.188747 0.877866
12.2 0.086325 -0.524915 0.531966 -0.820912 -0.310854 0.877797
12.3 -0.1608 -0.496723 0.522102 -0.767192 -0.426411 0.87773
12.4 -0.403423 -0.454621 0.607807 -0.6973 -0.532979 0.877664
12.5 -0.634748 -0.399788 0.750157 -0.612706 -0.62831 0.8776
12.6 -0.848298 -0.333759 0.911594 -0.515189 -0.710389 0.877538
12.7 -1.03809 -0.258384 1.06977 -0.406804 -0.77748 0.877477
12.8 -1.19882 -0.175774 1.21163 -0.289834 -0.828165 0.877417
12.9 -1.32597 -0.0882408 1.3289 -0.166746 -0.861368 0.877359
13 -1.41599 0.0017631 1.41599 -0.0401375 -0.876384 0.877302
13.1 -1.46636 0.0917177 1.46923 0.0873186 -0.87289 0.877247
13.2 -1.47567 0.179104 1.48649 0.21293 -0.850957 0.877192
13.3 -1.44365 0.261474 1.46713 0.334042 -0.811042 0.877139
13.4 -1.3712 0.336523 1.41189 0.448094 -0.753986 0.877088
13.5 -1.26036 0.402147 1.32296 0.552672 -0.68099 0.877037
13.6 -1.11422 0.45651 1.20411 0.645564 -0.593594 0.876987
13.7 -0.936878 0.49809 1.06105 0.724802 -0.493643 0.876939
13.8 -0.733302 0.52572 0.902282 0.788707 -0.38325 0.876892
13.9 -0.50919 0.538629 0.741213 0.835923 -0.264747 0.876845
14 -0.27082 0.536455 0.600938 0.865447 -0.140641 0.8768
14.1 -0.0248654 0.519257 0.519852 0.876651 -0.0135579 0.876756
14.2 0.221785 0.487519 0.535596 0.869293 0.113812 0.876712
14.3 0.462225 0.442128 0.639633 0.843527 0.238772 0.87667
14.4 0.689721 0.384357 0.789586 0.799893 0.358674 0.876628
14.5 0.897903 0.315822 0.951826 0.739314 0.470977 0.876587
14.6 1.08094 0.238443 1.10693 0.663069 0.573301 0.876547
14.7 1.23371 0.154386 1.24333 0.572772 0.663475 0.876508
14.8 1.35193 0.0660063 1.35354 0.470333 0.739585 0.87647
14.9 1.43229 -0.0242218 1.43249 0.357924 0.800015 0.876432
15 1.47254 -0.113772 1.47693 0.237925 0.843481 0.876395
15.1 1.47155 -0.200136 1.4851 0.11288 0.869059 0.876359
15.2 1.42936 -0.280895 1.4567 -0.0145593 0.876203 0.876324
15.3 1.34714 -0.353788 1.39282 -0.141689 0.864758 0.876289
15.4 1.22719 -0.416774 1.29603 -0.265813 0.834965 0.876255
15.5 1.07288 -0.468089 1.17055 -0.384296 0.787453 0.876222
15.6 0.888525 -0.506296 1.02265 -0.494622 0.723227 0.876189
15.7 0.679288 -0.530324 0.861786 -0.594448 0.643648 0.876157
15.8 0.451028 -0.539502 0.703199 -0.681654 0.550404 0.876126
15.9 0.210138 -0.533572 0.57346 -0.754385 0.445473 0.876095
16 -0.0366372 -0.5127 0.514007 -0.811095 0.331081 0.876065
16.1 -0.282386 -0.47747 0.554725 -0.850577 0.209658 0.876035
16.2 -0.520227 -0.42887 0.674215 -0.87199 0.08378 0.876006
16.3 -0.7435 -0.36826 0.829703 -0.874878 -0.0438774 0.875977
16.4 -0.945952 -0.297337 0.991582 -0.859175 -0.170602 0.875949
16.5 -1.12191 -0.218087 1.14291 -0.825214 -0.293702 0.875921
16.6 -1.26646 -0.132731 1.2734 -0.773713 -0.410559 0.875894
16.7 -1.37554 -0.0436575 1.37623 -0.705766 -0.518689 0.875868
16.8 -1.4461 0.0466386 1.44685 -0.622816 -0.615792 0.875842
16.9 -1.47616 0.135629 1.48238 -0.526623 -0.699802 0.875816
17 -1.46489 0.22082 1.48144 -0.419231 -0.768931 0.875791
17.1 -1.41259 0.299829 1.44406 -0.302924 -0.821707 0.875766
17.2 -1.32074 0.37044 1.3717 -0.180175 -0.857007 0.875742
17.3 -1.1919 0.430679 1.26732 -0.0535922 -0.874076 0.875718
