r, Re(potential), Im(potential), Coupling
11.4, -1.38575e-97, -6.92876e-98, 8.83286e-98
11.5, -8.89004e-100, -4.44502e-100, 5.66701e-100
11.6, -5.39501e-102, -2.6975e-102, 3.43933e-102
11.7, -3.09707e-104, -1.54853e-104, 1.97452e-104
11.8, -1.68182e-106, -8.40909e-107, 1.0723e-106
11.9, -8.6393e-109, -4.31965e-109, 5.50861e-109
12, -4.19806e-111, -2.09903e-111, 2.67692e-111
12.1, -1.9297e-113, -9.64849e-114, 1.23054e-113
12.2, -8.39075e-116, -4.19538e-116, 5.35092e-116
12.3, -3.45131e-118, -1.72565e-118, 2.20105e-118
12.4, -1.34288e-120, -6.71441e-121, 8.56448e-121
12.5, -4.94268e-123, -2.47134e-123, 3.15241e-123
12.6, -1.72091e-125, -8.60457e-126, 1.09762e-125
12.7, -5.66797e-128, -2.83398e-128, 3.61522e-128
12.8, -1.7659e-130, -8.82952e-131, 1.12639e-130
12.9, -5.20449e-133, -2.60224e-133, 3.31978e-133
13, -1.45098e-135, -7.25489e-136, 9.25557e-136
13.1, -3.82662e-138, -1.91331e-138, 2.441e-138
13.2, -9.54644e-141, -4.77322e-141, 6.0898e-141
13.3, -2.25289e-143, -1.12644e-143, 1.43718e-143
13.4, -5.02932e-146, -2.51466e-146, 3.2084e-146
13.5, -1.06207e-148, -5.31033e-149, 6.77544e-149
13.6, -2.12161e-151, -1.06081e-151, 1.3535e-151
13.7, -4.00914e-154, -2.00457e-154, 2.5577e-154
13.8, -7.16654e-157, -3.58327e-157, 4.57208e-157
13.9, -1.21182e-159, -6.05912e-160, 7.73125e-160
14, -1.93839e-162, -9.69197e-163, 1.23668e-162
14.1, -2.93303e-165, -1.46652e-165, 1.87127e-165
14.2, -4.1982e-168, -2.0991e-168, 2.67847e-168
14.3, -5.68437e-171, -2.84218e-171, 3.62668e-171
14.4, -7.2807e-174, -3.64035e-174, 4.6452e-174
14.5, -8.82138e-177, -4.41069e-177, 5.62822e-177
14.6, -1.01105e-179, -5.05524e-180, 6.45075e-180
14.7, -1.09617e-182, -5.48087e-183, 6.99392e-183
14.8, -1.12424e-185, -5.62121e-186, 7.17305e-186
14.9, -1.09072e-188, -5.45359e-189, 6.95919e-189
15, -1.00101e-191, -5.00504e-192, 6.38684e-192
15.1, -8.6903e-195, -4.34515e-195, 5.54479e-195
15.2, -7.13681e-198, -3.56841e-198, 4.55362e-198
15.3, -5.5443e-201, -2.77215e-201, 3.53754e-201
15.4, -4.07437e-204, -2.03719e-204, 2.59966e-204
15.5, -2.83235e-207, -1.41618e-207, 1.8072e-207
15.6, -1.86254e-210, -9.31272e-211, 1.18841e-210
15.7, -1.15861e-213, -5.79306e-214, 7.39263e-214
15.8, -6.81777e-217, -3.40889e-217, 4.35015e-217
15.9, -3.79506e-220, -1.89753e-220, 2.42149e-220
16, -1.99833e-223, -9.99166e-224, 1.27506e-223
16.1, -9.95188e-227, -4.97594e-227, 6.35118e-227
16.2, 0, 0, 2.9926e-230
16.3, 0, 0, 1.33388e-233
16.4, 0, 0, 5.62413e-237
16.5, 0, 0, 2.2432e-240
16.6, 0, 0, 8.46354e-244
16.7, 0, 0, 3.02071e-247
16.8, 0, 0, 1.01985e-250
16.9, 0, 0, 3.25716e-254
17, 0, 0, 9.84042e-258
17.1, 0, 0, 2.81229e-261
17.2, 0, 0, 7.6029e-265
17.3, 0, 0, 1.94433e-268
17.4, 0, 0, 4.70365e-272
