r, Channel 1
3.18, -1.2588
3.19, -1.26401
3.2, -1.26912
3.21, -1.27414
3.22, -1.27905
3.23, -1.28387
3.24, -1.2886
3.25, -1.29323
3.26, -1.29776
3.27, -1.3022
3.28, -1.30654
3.29, -1.31079
3.3, -1.31495
3.31, -1.31902
3.32, -1.32299
3.33, -1.32687
3.34, -1.33066
3.35, -1.33436
3.36, -1.33797
3.37, -1.34149
3.38, -1.34492
3.39, -1.34827
3.4, -1.35152
3.41, -1.35469
3.42, -1.35778
3.43, -1.36077
3.44, -1.36369
3.45, -1.36651
3.46, -1.36926
3.47, -1.37192
3.48, -1.3745
3.49, -1.37699
3.5, -1.37941
3.51, -1.38174
3.52, -1.38399
3.53, -1.38617
3.54, -1.38826
3.55, -1.39028
3.56, -1.39222
3.57, -1.39408
3.58, -1.39587
3.59, -1.39758
3.6, -1.39921
3.61, -1.40077
3.62, -1.40226
3.63, -1.40367
3.64, -1.40502
3.65, -1.40628
3.66, -1.40748
3.67, -1.40861
3.68, -1.40967
3.69, -1.41065
3.7, -1.41157
3.71, -1.41242
3.72, -1.41321
3.73, -1.41392
3.74, -1.41458
3.75, -1.41516
3.76, -1.41568
3.77, -1.41614
3.78, -1.41653
3.79, -1.41686
3.8, -1.41712
3.81, -1.41733
3.82, -1.41747
3.83, -1.41755
3.84, -1.41757
3.85, -1.41754
3.86, -1.41744
3.87, -1.41729
3.88, -1.41708
3.89, -1.41681
3.9, -1.41648
3.91, -1.4161
3.92, -1.41566
3.93, -1.41517
3.94, -1.41463
3.95, -1.41403
3.96, -1.41338
3.97, -1.41267
3.98, -1.41192
3.99, -1.41111
4, -1.41025
4.01, -1.40935
4.02, -1.40839
4.03, -1.40738
4.04, -1.40633
4.05, -1.40522
4.06, -1.40407
4.07, -1.40288
4.08, -1.40163
4.09, -1.40034
4.1, -1.39901
4.11, -1.39763
4.12, -1.3962
4.13, -1.39474
4.14, -1.39323
4.15, -1.39167
4.16, -1.39008
4.17, -1.38844
4.18, -1.38676
4.19, -1.38504
4.2, -1.38328
4.21, -1.38148
4.22, -1.37964
4.23, -1.37776
4.24, -1.37585
4.25, -1.37389
4.26, -1.3719
4.27, -1.36987
4.28, -1.36781
4.29, -1.36571
4.3, -1.36357
4.31, -1.3614
4.32, -1.35919
4.33, -1.35695
4.34, -1.35468
4.35, -1.35237
4.36, -1.35003
4.37, -1.34765
4.38, -1.34525
4.39, -1.34281
4.4, -1.34034
4.41, -1.33784
4.42, -1.33531
4.43, -1.33274
4.44, -1.33015
4.45, -1.32753
4.46, -1.32488
4.47, -1.3222
4.48, -1.3195
4.49, -1.31676
4.5, -1.314
4.51, -1.31121
4.52, -1.30839
4.53, -1.30555
4.54, -1.30268
4.55, -1.29978
4.56, -1.29686
4.57, -1.29392
4.58, -1.29095
4.59, -1.28795
4.6, -1.28493
4.61, -1.28189
4.62, -1.27882
4.63, -1.27573
4.64, -1.27262
4.65, -1.26949
4.66, -1.26633
4.67, -1.26315
4.68, -1.25995
4.69, -1.25673
4.7, -1.25348
4.71, -1.25022
4.72, -1.24694
4.73, -1.24363
4.74, -1.24031
4.75, -1.23696
4.76, -1.2336
4.77, -1.23022
4.78, -1.22682
4.79, -1.2234
4.8, -1.21996
4.81, -1.2165
4.82, -1.21303
4.83, -1.20954
4.84, -1.20603
4.85, -1.2025
4.86, -1.19896
4.87, -1.1954
4.88, -1.19183
4.89, -1.18824
4.9, -1.18463
4.91, -1.18101
4.92, -1.17737
4.93, -1.17372
4.94, -1.17005
4.95, -1.16637
4.96, -1.16267
4.97, -1.15896
4.98, -1.15523
4.99, -1.15149
5, -1.14774
5.01, -1.14398
5.02, -1.1402
5.03, -1.1364
5.04, -1.1326
5.05, -1.12878
5.06, -1.12495
5.07, -1.12111
5.08, -1.11725
5.09, -1.11338
5.1, -1.1095
5.11, -1.10561
5.12, -1.10171
5.13, -1.0978
5.14, -1.09387
5.15, -1.08994
5.16, -1.08599
5.17, -1.08203
5.18, -1.07807
5.19, -1.07409
5.2, -1.0701
5.21, -1.0661
5.22, -1.06209
5.23, -1.05808
5.24, -1.05405
5.25, -1.05001
5.26, -1.04597
5.27, -1.04191
5.28, -1.03785
5.29, -1.03377
5.3, -1.02969
5.31, -1.0256
5.32, -1.0215
5.33, -1.01739
5.34, -1.01328
5.35, -1.00915
5.36, -1.00502
5.37, -1.00088
5.38, -0.996731
5.39, -0.992575
5.4, -0.988411
5.41, -0.98424
5.42, -0.980061
5.43, -0.975876
5.44, -0.971682
5.45, -0.967482
5.46, -0.963275
5.47, -0.959061
5.48, -0.954839
5.49, -0.950612
5.5, -0.946377
5.51, -0.942136
5.52, -0.937889
5.53, -0.933635
5.54, -0.929374
5.55, -0.925108
5.56, -0.920835
5.57, -0.916557
5.58, -0.912272
5.59, -0.907982
5.6, -0.903685
5.61, -0.899383
5.62, -0.895075
5.63, -0.890762
5.64, -0.886443
5.65, -0.882119
5.66, -0.877789
5.67, -0.873454
5.68, -0.869113
5.69, -0.864768
5.7, -0.860417
5.71, -0.856061
5.72, -0.8517
5.73, -0.847334
5.74, -0.842963
5.75, -0.838588
5.76, -0.834208
5.77, -0.829822
5.78, -0.825433
5.79, -0.821038
5.8, -0.816639
5.81, -0.812236
5.82, -0.807828
5.83, -0.803416
5.84, -0.798999
5.85, -0.794578
5.86, -0.790153
5.87, -0.785723
5.88, -0.78129
5.89, -0.776852
5.9, -0.77241
5.91, -0.767964
5.92, -0.763514
5.93, -0.759061
5.94, -0.754603
5.95, -0.750141
5.96, -0.745676
5.97, -0.741207
5.98, -0.736734
5.99, -0.732258
6, -0.727777
6.01, -0.723294
6.02, -0.718806
6.03, -0.714315
6.04, -0.709821
6.05, -0.705323
6.06, -0.700822
6.07, -0.696317
6.08, -0.69181
6.09, -0.687298
6.1, -0.682784
6.11, -0.678266
6.12, -0.673745
6.13, -0.669221
6.14, -0.664694
6.15, -0.660164
6.16, -0.65563
6.17, -0.651094
6.18, -0.646555
6.19, -0.642012
6.2, -0.637467
6.21, -0.632919
6.22, -0.628368
6.23, -0.623815
6.24, -0.619258
6.25, -0.614699
6.26, -0.610137
6.27, -0.605572
6.28, -0.601005
6.29, -0.596435
6.3, -0.591863
6.31, -0.587288
6.32, -0.58271
6.33, -0.57813
6.34, -0.573548
6.35, -0.568963
6.36, -0.564375
6.37, -0.559786
6.38, -0.555194
6.39, -0.5506
6.4, -0.546003
6.41, -0.541404
6.42, -0.536803
6.43, -0.5322
6.44, -0.527595
6.45, -0.522987
6.46, -0.518378
6.47, -0.513766
6.48, -0.509152
6.49, -0.504537
6.5, -0.499919
6.51, -0.4953
6.52, -0.490678
6.53, -0.486055
6.54, -0.481429
6.55, -0.476802
6.56, -0.472174
6.57, -0.467543
6.58, -0.46291
6.59, -0.458276
6.6, -0.45364
6.61, -0.449003
6.62, -0.444364
6.63, -0.439723
6.64, -0.43508
6.65, -0.430436
6.66, -0.425791
6.67, -0.421144
6.68, -0.416495
6.69, -0.411845
6.7, -0.407194
6.71, -0.402541
6.72, -0.397886
6.73, -0.39323
6.74, -0.388573
6.75, -0.383915
6.76, -0.379255
6.77, -0.374594
6.78, -0.369931
6.79, -0.365267
6.8, -0.360602
6.81, -0.355936
6.82, -0.351268
6.83, -0.3466
6.84, -0.34193
6.85, -0.337259
6.86, -0.332587
6.87, -0.327913
6.88, -0.323239
6.89, -0.318563
6.9, -0.313886
6.91, -0.309209
6.92, -0.30453
6.93, -0.29985
6.94, -0.295169
6.95, -0.290487
6.96, -0.285804
6.97, -0.28112
6.98, -0.276435
6.99, -0.271749
7, -0.267062
7.01, -0.262374
7.02, -0.257685
7.03, -0.252995
7.04, -0.248305
7.05, -0.243613
7.06, -0.23892
7.07, -0.234227
7.08, -0.229533
7.09, -0.224837
7.1, -0.220141
7.11, -0.215444
7.12, -0.210746
7.13, -0.206048
7.14, -0.201348
7.15, -0.196648
7.16, -0.191947
7.17, -0.187245
7.18, -0.182542
7.19, -0.177839
7.2, -0.173134
7.21, -0.168429
7.22, -0.163723
7.23, -0.159017
7.24, -0.154309
7.25, -0.149601
7.26, -0.144893
7.27, -0.140183
7.28, -0.135473
7.29, -0.130762
7.3, -0.126051
7.31, -0.121339
7.32, -0.116626
7.33, -0.111913
7.34, -0.107199
7.35, -0.102484
7.36, -0.0977693
7.37, -0.0930537
7.38, -0.0883376
7.39, -0.083621
7.4, -0.0789039
7.41, -0.0741863
7.42, -0.0694684
7.43, -0.06475
7.44, -0.0600312
7.45, -0.0553121
7.46, -0.0505926
7.47, -0.0458729
7.48, -0.0411528
7.49, -0.0364325
7.5, -0.031712
7.51, -0.0269913
7.52, -0.0222705
7.53, -0.0175495
7.54, -0.0128285
7.55, -0.00810734
7.56, -0.00338621
7.57, 0.0013349
7.58, 0.00605597
7.59, 0.0107769
7.6, 0.0154978
7.61, 0.0202185
7.62, 0.024939
7.63, 0.0296593
7.64, 0.0343793
7.65, 0.039099
7.66, 0.0438183
7.67, 0.0485373
7.68, 0.0532559
7.69, 0.057974
7.7, 0.0626916
7.71, 0.0674088
7.72, 0.0721254
7.73, 0.0768414
7.74, 0.0815568
7.75, 0.0862717
7.76, 0.0909859
7.77, 0.0956994
7.78, 0.100412
7.79, 0.105124
7.8, 0.109836
7.81, 0.114547
7.82, 0.119257
7.83, 0.123966
7.84, 0.128675
7.85, 0.133384
7.86, 0.138091
7.87, 0.142798
7.88, 0.147505
7.89, 0.152211
7.9, 0.156916
7.91, 0.161622
7.92, 0.166327
7.93, 0.171032
7.94, 0.175736
7.95, 0.180441
7.96, 0.185147
7.97, 0.189852
7.98, 0.194558
7.99, 0.199265
8, 0.203973
8.01, 0.208673
8.02, 0.213373
8.03, 0.218071
8.04, 0.222769
8.05, 0.227466
8.06, 0.232161
8.07, 0.236856
8.08, 0.24155
8.09, 0.246243
8.1, 0.250935
8.11, 0.255626
8.12, 0.260316
8.13, 0.265005
8.14, 0.269692
8.15, 0.274379
8.16, 0.279064
8.17, 0.283748
8.18, 0.288431
8.19, 0.293113
8.2, 0.297794
8.21, 0.302473
8.22, 0.307151
8.23, 0.311828
8.24, 0.316504
8.25, 0.321178
8.26, 0.325851
8.27, 0.330522
8.28, 0.335192
8.29, 0.339861
8.3, 0.344528
8.31, 0.349194
8.32, 0.353858
8.33, 0.358521
8.34, 0.363182
8.35, 0.367842
8.36, 0.3725
8.37, 0.377157
8.38, 0.381811
8.39, 0.386465
8.4, 0.391116
8.41, 0.395766
8.42, 0.400415
8.43, 0.405061
8.44, 0.409706
8.45, 0.414349
8.46, 0.41899
8.47, 0.42363
8.48, 0.428267
8.49, 0.432903
